"region_id","indicator","year","value"
"BE10","emp_pers_Sheet_1",2015,"428.1"
"BE10","emp_pers_Sheet_1",2016,"437.6"
"BE10","emp_pers_Sheet_1",2017,"445"
"BE10","emp_pers_Sheet_1",2018,"454.2"
"BE10","emp_pers_Sheet_1",2019,"460.2"
"BE10","emp_pers_Sheet_1",2020,"461.5"
"BE10","emp_pers_Sheet_1",2021,"470.2"
"BE10","emp_pers_Sheet_1",2022,"499.5"
"BE10","emp_pers_Sheet_1",2023,"517.6"
"BE10","emp_pers_Sheet_1",2024,"501.8"
"BE21","emp_pers_Sheet_1",2015,"756"
"BE21","emp_pers_Sheet_1",2016,"745.2"
"BE21","emp_pers_Sheet_1",2017,"760.2"
"BE21","emp_pers_Sheet_1",2018,"785.8"
"BE21","emp_pers_Sheet_1",2019,"805.1"
"BE21","emp_pers_Sheet_1",2020,"790.7"
"BE21","emp_pers_Sheet_1",2021,"789.2"
"BE21","emp_pers_Sheet_1",2022,"828.9"
"BE21","emp_pers_Sheet_1",2023,"832.3"
"BE21","emp_pers_Sheet_1",2024,"834.8"
"BE22","emp_pers_Sheet_1",2015,"358.8"
"BE22","emp_pers_Sheet_1",2016,"362.6"
"BE22","emp_pers_Sheet_1",2017,"372.4"
"BE22","emp_pers_Sheet_1",2018,"373.4"
"BE22","emp_pers_Sheet_1",2019,"373"
"BE22","emp_pers_Sheet_1",2020,"369.3"
"BE22","emp_pers_Sheet_1",2021,"374.7"
"BE22","emp_pers_Sheet_1",2022,"386.5"
"BE22","emp_pers_Sheet_1",2023,"393.7"
"BE22","emp_pers_Sheet_1",2024,"388.9"
"BE23","emp_pers_Sheet_1",2015,"641.4"
"BE23","emp_pers_Sheet_1",2016,"651"
"BE23","emp_pers_Sheet_1",2017,"647.1"
"BE23","emp_pers_Sheet_1",2018,"670.3"
"BE23","emp_pers_Sheet_1",2019,"678.9"
"BE23","emp_pers_Sheet_1",2020,"686"
"BE23","emp_pers_Sheet_1",2021,"708"
"BE23","emp_pers_Sheet_1",2022,"719.6"
"BE23","emp_pers_Sheet_1",2023,"713.7"
"BE23","emp_pers_Sheet_1",2024,"715.5"
"BE24","emp_pers_Sheet_1",2015,"482.1"
"BE24","emp_pers_Sheet_1",2016,"485.5"
"BE24","emp_pers_Sheet_1",2017,"486.7"
"BE24","emp_pers_Sheet_1",2018,"499.9"
"BE24","emp_pers_Sheet_1",2019,"505.9"
"BE24","emp_pers_Sheet_1",2020,"500.4"
"BE24","emp_pers_Sheet_1",2021,"497.4"
"BE24","emp_pers_Sheet_1",2022,"498.1"
"BE24","emp_pers_Sheet_1",2023,"500.3"
"BE24","emp_pers_Sheet_1",2024,"508.3"
"BE25","emp_pers_Sheet_1",2015,"499.5"
"BE25","emp_pers_Sheet_1",2016,"501.6"
"BE25","emp_pers_Sheet_1",2017,"508.4"
"BE25","emp_pers_Sheet_1",2018,"519.6"
"BE25","emp_pers_Sheet_1",2019,"523.29999999999995"
"BE25","emp_pers_Sheet_1",2020,"516.70000000000005"
"BE25","emp_pers_Sheet_1",2021,"519.29999999999995"
"BE25","emp_pers_Sheet_1",2022,"527"
"BE25","emp_pers_Sheet_1",2023,"536.20000000000005"
"BE25","emp_pers_Sheet_1",2024,"533.4"
"BE31","emp_pers_Sheet_1",2015,"159.5"
"BE31","emp_pers_Sheet_1",2016,"160.30000000000001"
"BE31","emp_pers_Sheet_1",2017,"164.2"
"BE31","emp_pers_Sheet_1",2018,"163.4"
"BE31","emp_pers_Sheet_1",2019,"166.4"
"BE31","emp_pers_Sheet_1",2020,"164.6"
"BE31","emp_pers_Sheet_1",2021,"169.1"
"BE31","emp_pers_Sheet_1",2022,"175.7"
"BE31","emp_pers_Sheet_1",2023,"175.4"
"BE31","emp_pers_Sheet_1",2024,"173.4"
"BE32","emp_pers_Sheet_1",2015,"455.5"
"BE32","emp_pers_Sheet_1",2016,"470.4"
"BE32","emp_pers_Sheet_1",2017,"463.7"
"BE32","emp_pers_Sheet_1",2018,"466.8"
"BE32","emp_pers_Sheet_1",2019,"473.6"
"BE32","emp_pers_Sheet_1",2020,"467.1"
"BE32","emp_pers_Sheet_1",2021,"475"
"BE32","emp_pers_Sheet_1",2022,"478.1"
"BE32","emp_pers_Sheet_1",2023,"487.4"
"BE32","emp_pers_Sheet_1",2024,"500.1"
"BE33","emp_pers_Sheet_1",2015,"394.3"
"BE33","emp_pers_Sheet_1",2016,"395.5"
"BE33","emp_pers_Sheet_1",2017,"393.6"
"BE33","emp_pers_Sheet_1",2018,"404.9"
"BE33","emp_pers_Sheet_1",2019,"412.8"
"BE33","emp_pers_Sheet_1",2020,"414.9"
"BE33","emp_pers_Sheet_1",2021,"417.1"
"BE33","emp_pers_Sheet_1",2022,"415.5"
"BE33","emp_pers_Sheet_1",2023,"403.4"
"BE33","emp_pers_Sheet_1",2024,"416.7"
"BE34","emp_pers_Sheet_1",2015,"110.5"
"BE34","emp_pers_Sheet_1",2016,"112.6"
"BE34","emp_pers_Sheet_1",2017,"116.3"
"BE34","emp_pers_Sheet_1",2018,"116.8"
"BE34","emp_pers_Sheet_1",2019,"118.6"
"BE34","emp_pers_Sheet_1",2020,"120.1"
"BE34","emp_pers_Sheet_1",2021,"122.6"
"BE34","emp_pers_Sheet_1",2022,"124"
"BE34","emp_pers_Sheet_1",2023,"121"
"BE34","emp_pers_Sheet_1",2024,"123.5"
"BE35","emp_pers_Sheet_1",2015,"182.9"
"BE35","emp_pers_Sheet_1",2016,"185.3"
"BE35","emp_pers_Sheet_1",2017,"192.2"
"BE35","emp_pers_Sheet_1",2018,"190.4"
"BE35","emp_pers_Sheet_1",2019,"190.5"
"BE35","emp_pers_Sheet_1",2020,"195.2"
"BE35","emp_pers_Sheet_1",2021,"192.4"
"BE35","emp_pers_Sheet_1",2022,"195.7"
"BE35","emp_pers_Sheet_1",2023,"197.6"
"BE35","emp_pers_Sheet_1",2024,"203.8"
"BG31","emp_pers_Sheet_1",2015,"272.8"
"BG31","emp_pers_Sheet_1",2016,"259.7"
"BG31","emp_pers_Sheet_1",2017,"267.10000000000002"
"BG31","emp_pers_Sheet_1",2018,"265.3"
"BG31","emp_pers_Sheet_1",2019,"255.2"
"BG31","emp_pers_Sheet_1",2020,"246.8"
"BG31","emp_pers_Sheet_1",2021,"244.5"
"BG31","emp_pers_Sheet_1",2022,"248.2"
"BG31","emp_pers_Sheet_1",2023,"242.3"
"BG31","emp_pers_Sheet_1",2024,"244.7"
"BG32","emp_pers_Sheet_1",2015,"320"
"BG32","emp_pers_Sheet_1",2016,"319.3"
"BG32","emp_pers_Sheet_1",2017,"324.39999999999998"
"BG32","emp_pers_Sheet_1",2018,"321.8"
"BG32","emp_pers_Sheet_1",2019,"309.7"
"BG32","emp_pers_Sheet_1",2020,"296.7"
"BG32","emp_pers_Sheet_1",2021,"283.3"
"BG32","emp_pers_Sheet_1",2022,"282.3"
"BG32","emp_pers_Sheet_1",2023,"282.10000000000002"
"BG32","emp_pers_Sheet_1",2024,"278.2"
