"region_id","indicator","year","value"
"BE21","emp_tech_Sheet_3",2020,"3.1"
"BE21","emp_tech_Sheet_3",2021,"6.2"
"BE21","emp_tech_Sheet_3",2022,"4.4"
"BE21","emp_tech_Sheet_3",2023,"9.5"
"BE21","emp_tech_Sheet_3",2024,"12.3"
"BE22","emp_tech_Sheet_3",2020,"4.7"
"BE22","emp_tech_Sheet_3",2021,"4.7"
"BE22","emp_tech_Sheet_3",2022,"4.8"
"BE22","emp_tech_Sheet_3",2023,"3.4"
"BE22","emp_tech_Sheet_3",2024,"2.2"
"BE23","emp_tech_Sheet_3",2020,"7.4"
"BE23","emp_tech_Sheet_3",2021,"7.6"
"BE23","emp_tech_Sheet_3",2022,"7.8"
"BE23","emp_tech_Sheet_3",2023,"10.9"
"BE23","emp_tech_Sheet_3",2024,"7.3"
"BE25","emp_tech_Sheet_3",2020,"9.4"
"BE25","emp_tech_Sheet_3",2021,"6.3"
"BE25","emp_tech_Sheet_3",2022,"6.7"
"BE25","emp_tech_Sheet_3",2023,"8.9"
"BE25","emp_tech_Sheet_3",2024,"8.9"
"BE32","emp_tech_Sheet_3",2020,"5.8"
"BE32","emp_tech_Sheet_3",2021,"4.4"
"BE32","emp_tech_Sheet_3",2022,"6.5"
"BE32","emp_tech_Sheet_3",2023,"8.9"
"BE32","emp_tech_Sheet_3",2024,"6.0"
"BE33","emp_tech_Sheet_3",2020,"4.0"
"BE33","emp_tech_Sheet_3",2021,"4.9"
"BE33","emp_tech_Sheet_3",2022,"3.5"
"BE33","emp_tech_Sheet_3",2023,"3.6"
"BE33","emp_tech_Sheet_3",2024,"4.4"
"BE34","emp_tech_Sheet_3",2020,"3.4"
"BE34","emp_tech_Sheet_3",2021,"2.6"
"BE34","emp_tech_Sheet_3",2022,"3.9"
"BE34","emp_tech_Sheet_3",2023,"4.1"
"BE34","emp_tech_Sheet_3",2024,"3.2"
"BE35","emp_tech_Sheet_3",2020,"3.5"
"BE35","emp_tech_Sheet_3",2021,"5.6"
"BE35","emp_tech_Sheet_3",2022,"5.7"
"BE35","emp_tech_Sheet_3",2023,"4.1"
"BE35","emp_tech_Sheet_3",2024,"4.4"
"BG31","emp_tech_Sheet_3",2020,"23.3"
"BG31","emp_tech_Sheet_3",2021,"22.3"
"BG31","emp_tech_Sheet_3",2022,"25.0"
"BG31","emp_tech_Sheet_3",2023,"21.2"
"BG31","emp_tech_Sheet_3",2024,"17.0"
"BG32","emp_tech_Sheet_3",2020,"25.8"
"BG32","emp_tech_Sheet_3",2021,"24.6"
"BG32","emp_tech_Sheet_3",2022,"24.5"
"BG32","emp_tech_Sheet_3",2023,"23.9"
"BG32","emp_tech_Sheet_3",2024,"18.5"
"BG33","emp_tech_Sheet_3",2020,"33.7"
"BG33","emp_tech_Sheet_3",2021,"30.7"
"BG33","emp_tech_Sheet_3",2022,"31.0"
"BG33","emp_tech_Sheet_3",2023,"29.3"
"BG33","emp_tech_Sheet_3",2024,"27.2"
"BG34","emp_tech_Sheet_3",2020,"49.1"
"BG34","emp_tech_Sheet_3",2021,"43.9"
"BG34","emp_tech_Sheet_3",2022,"41.2"
"BG34","emp_tech_Sheet_3",2023,"36.8"
"BG34","emp_tech_Sheet_3",2024,"30.9"
"BG41","emp_tech_Sheet_3",2020,"36.0"
"BG41","emp_tech_Sheet_3",2021,"29.4"
"BG41","emp_tech_Sheet_3",2022,"30.8"
"BG41","emp_tech_Sheet_3",2023,"28.6"
"BG41","emp_tech_Sheet_3",2024,"25.7"
"BG42","emp_tech_Sheet_3",2020,"57.1"
"BG42","emp_tech_Sheet_3",2021,"54.8"
"BG42","emp_tech_Sheet_3",2022,"57.1"
"BG42","emp_tech_Sheet_3",2023,"49.2"
"BG42","emp_tech_Sheet_3",2024,"44.5"
"CZ01","emp_tech_Sheet_3",2020,"1.6"
"CZ01","emp_tech_Sheet_3",2021,"1.6"
"CZ01","emp_tech_Sheet_3",2022,"2.1"
"CZ01","emp_tech_Sheet_3",2023,"2.7"
"CZ01","emp_tech_Sheet_3",2024,"3.5"
"CZ02","emp_tech_Sheet_3",2020,"17.9"
"CZ02","emp_tech_Sheet_3",2021,"20.3"
"CZ02","emp_tech_Sheet_3",2022,"17.1"
"CZ02","emp_tech_Sheet_3",2023,"19.5"
"CZ02","emp_tech_Sheet_3",2024,"21.8"
"CZ03","emp_tech_Sheet_3",2020,"26.0"
"CZ03","emp_tech_Sheet_3",2021,"27.6"
"CZ03","emp_tech_Sheet_3",2022,"28.3"
"CZ03","emp_tech_Sheet_3",2023,"27.6"
"CZ03","emp_tech_Sheet_3",2024,"29.3"
"CZ04","emp_tech_Sheet_3",2020,"25.6"
"CZ04","emp_tech_Sheet_3",2021,"20.6"
"CZ04","emp_tech_Sheet_3",2022,"20.3"
"CZ04","emp_tech_Sheet_3",2023,"20.3"
"CZ04","emp_tech_Sheet_3",2024,"20.8"
"CZ05","emp_tech_Sheet_3",2020,"24.2"
"CZ05","emp_tech_Sheet_3",2021,"26.7"
"CZ05","emp_tech_Sheet_3",2022,"20.4"
"CZ05","emp_tech_Sheet_3",2023,"25.8"
"CZ05","emp_tech_Sheet_3",2024,"23.6"
"CZ06","emp_tech_Sheet_3",2020,"32.5"
"CZ06","emp_tech_Sheet_3",2021,"28.3"
"CZ06","emp_tech_Sheet_3",2022,"31.3"
"CZ06","emp_tech_Sheet_3",2023,"29.5"
"CZ06","emp_tech_Sheet_3",2024,"34.1"
"CZ07","emp_tech_Sheet_3",2020,"20.5"
"CZ07","emp_tech_Sheet_3",2021,"18.2"
"CZ07","emp_tech_Sheet_3",2022,"18.9"
"CZ07","emp_tech_Sheet_3",2023,"19.2"
"CZ07","emp_tech_Sheet_3",2024,"20.3"
"CZ08","emp_tech_Sheet_3",2020,"18.8"
"CZ08","emp_tech_Sheet_3",2021,"18.6"
"CZ08","emp_tech_Sheet_3",2022,"15.5"
"CZ08","emp_tech_Sheet_3",2023,"15.4"
"CZ08","emp_tech_Sheet_3",2024,"14.8"
"DK01","emp_tech_Sheet_3",2020,"5.1"
"DK01","emp_tech_Sheet_3",2021,"5.2"
"DK01","emp_tech_Sheet_3",2022,"4.9"
"DK01","emp_tech_Sheet_3",2023,"5.0"
"DK01","emp_tech_Sheet_3",2024,"4.2"
"DK02","emp_tech_Sheet_3",2020,"9.3"
"DK02","emp_tech_Sheet_3",2021,"9.0"
"DK02","emp_tech_Sheet_3",2022,"8.5"
"DK02","emp_tech_Sheet_3",2023,"9.3"
"DK02","emp_tech_Sheet_3",2024,"6.7"
"DK03","emp_tech_Sheet_3",2020,"20.3"
"DK03","emp_tech_Sheet_3",2021,"19.5"
"DK03","emp_tech_Sheet_3",2022,"20.0"
"DK03","emp_tech_Sheet_3",2023,"19.5"
"DK03","emp_tech_Sheet_3",2024,"20.5"
"DK04","emp_tech_Sheet_3",2020,"19.6"
"DK04","emp_tech_Sheet_3",2021,"15.9"
"DK04","emp_tech_Sheet_3",2022,"18.0"
"DK04","emp_tech_Sheet_3",2023,"16.0"
"DK04","emp_tech_Sheet_3",2024,"14.6"
"DK05","emp_tech_Sheet_3",2020,"10.7"
"DK05","emp_tech_Sheet_3",2021,"9.2"
"DK05","emp_tech_Sheet_3",2022,"11.2"
"DK05","emp_tech_Sheet_3",2023,"11.8"
"DK05","emp_tech_Sheet_3",2024,"9.2"
"DE21","emp_tech_Sheet_3",2020,"26.1"
"DE21","emp_tech_Sheet_3",2021,"29.7"
"DE21","emp_tech_Sheet_3",2022,"36.8"
"DE21","emp_tech_Sheet_3",2023,"39.1"
"DE21","emp_tech_Sheet_3",2024,"35.0"
"DE40","emp_tech_Sheet_3",2020,"26.6"
"DE40","emp_tech_Sheet_3",2021,"23.8"
"DE40","emp_tech_Sheet_3",2022,"27.5"
"DE40","emp_tech_Sheet_3",2023,"27.7"
"DE40","emp_tech_Sheet_3",2024,"25.9"
"DE93","emp_tech_Sheet_3",2020,"29.9"
"DE93","emp_tech_Sheet_3",2021,"30.8"
"DE93","emp_tech_Sheet_3",2022,"35.8"
"DE93","emp_tech_Sheet_3",2023,"35.6"
"DE93","emp_tech_Sheet_3",2024,"26.4"
"DE94","emp_tech_Sheet_3",2020,"37.3"
"DE94","emp_tech_Sheet_3",2021,"34.6"
"DE94","emp_tech_Sheet_3",2022,"35.4"
"DE94","emp_tech_Sheet_3",2023,"38.5"
"DE94","emp_tech_Sheet_3",2024,"36.7"
"DEA3","emp_tech_Sheet_3",2020,"29.1"
"DEA3","emp_tech_Sheet_3",2021,"22.9"
"DEA3","emp_tech_Sheet_3",2022,"23.4"
"DEA3","emp_tech_Sheet_3",2023,"16.0"
"DEA3","emp_tech_Sheet_3",2024,"19.0"
"DEF0","emp_tech_Sheet_3",2020,"36.5"
"DEF0","emp_tech_Sheet_3",2021,"32.9"
"DEF0","emp_tech_Sheet_3",2022,"35.6"
"DEF0","emp_tech_Sheet_3",2023,"32.0"
"DEF0","emp_tech_Sheet_3",2024,"41.1"
"EE00","emp_tech_Sheet_3",2020,"23.8"
"EE00","emp_tech_Sheet_3",2021,"20.7"
