"region_id","indicator","year","value"
"BE10","emp_tech_manufacturing",2020,"22.6"
"BE10","emp_tech_manufacturing",2021,"22.3"
"BE10","emp_tech_manufacturing",2022,"24.4"
"BE10","emp_tech_manufacturing",2023,"21.8"
"BE10","emp_tech_manufacturing",2024,"20.0"
"BE21","emp_tech_manufacturing",2020,"112.7"
"BE21","emp_tech_manufacturing",2021,"105.4"
"BE21","emp_tech_manufacturing",2022,"103.5"
"BE21","emp_tech_manufacturing",2023,"106.5"
"BE21","emp_tech_manufacturing",2024,"106.6"
"BE22","emp_tech_manufacturing",2020,"60.4"
"BE22","emp_tech_manufacturing",2021,"56.0"
"BE22","emp_tech_manufacturing",2022,"63.0"
"BE22","emp_tech_manufacturing",2023,"58.5"
"BE22","emp_tech_manufacturing",2024,"62.0"
"BE23","emp_tech_manufacturing",2020,"115.5"
"BE23","emp_tech_manufacturing",2021,"105.6"
"BE23","emp_tech_manufacturing",2022,"103.2"
"BE23","emp_tech_manufacturing",2023,"110.8"
"BE23","emp_tech_manufacturing",2024,"104.1"
"BE24","emp_tech_manufacturing",2020,"39.5"
"BE24","emp_tech_manufacturing",2021,"32.7"
"BE24","emp_tech_manufacturing",2022,"36.5"
"BE24","emp_tech_manufacturing",2023,"38.9"
"BE24","emp_tech_manufacturing",2024,"47.8"
"BE25","emp_tech_manufacturing",2020,"89.4"
"BE25","emp_tech_manufacturing",2021,"87.9"
"BE25","emp_tech_manufacturing",2022,"92.6"
"BE25","emp_tech_manufacturing",2023,"92.5"
"BE25","emp_tech_manufacturing",2024,"90.7"
"BE31","emp_tech_manufacturing",2020,"17.2"
"BE31","emp_tech_manufacturing",2021,"17.0"
"BE31","emp_tech_manufacturing",2022,"17.4"
"BE31","emp_tech_manufacturing",2023,"15.1"
"BE31","emp_tech_manufacturing",2024,"17.1"
"BE32","emp_tech_manufacturing",2020,"51.9"
"BE32","emp_tech_manufacturing",2021,"52.9"
"BE32","emp_tech_manufacturing",2022,"46.8"
"BE32","emp_tech_manufacturing",2023,"46.8"
"BE32","emp_tech_manufacturing",2024,"44.5"
"BE33","emp_tech_manufacturing",2020,"53.5"
"BE33","emp_tech_manufacturing",2021,"47.1"
"BE33","emp_tech_manufacturing",2022,"52.1"
"BE33","emp_tech_manufacturing",2023,"57.5"
"BE33","emp_tech_manufacturing",2024,"54.1"
"BE34","emp_tech_manufacturing",2020,"11.7"
"BE34","emp_tech_manufacturing",2021,"13.1"
"BE34","emp_tech_manufacturing",2022,"13.8"
"BE34","emp_tech_manufacturing",2023,"14.0"
"BE34","emp_tech_manufacturing",2024,"11.5"
"BE35","emp_tech_manufacturing",2020,"15.0"
"BE35","emp_tech_manufacturing",2021,"16.0"
"BE35","emp_tech_manufacturing",2022,"14.2"
"BE35","emp_tech_manufacturing",2023,"13.4"
"BE35","emp_tech_manufacturing",2024,"15.1"
"BG31","emp_tech_manufacturing",2020,"55.7"
"BG31","emp_tech_manufacturing",2021,"58.7"
"BG31","emp_tech_manufacturing",2022,"58.4"
"BG31","emp_tech_manufacturing",2023,"55.9"
"BG31","emp_tech_manufacturing",2024,"55.9"
"BG32","emp_tech_manufacturing",2020,"86.4"
"BG32","emp_tech_manufacturing",2021,"79.3"
"BG32","emp_tech_manufacturing",2022,"81.4"
"BG32","emp_tech_manufacturing",2023,"86.0"
"BG32","emp_tech_manufacturing",2024,"80.6"
"BG33","emp_tech_manufacturing",2020,"45.5"
"BG33","emp_tech_manufacturing",2021,"46.2"
"BG33","emp_tech_manufacturing",2022,"47.6"
"BG33","emp_tech_manufacturing",2023,"44.0"
"BG33","emp_tech_manufacturing",2024,"39.0"
"BG34","emp_tech_manufacturing",2020,"83.6"
"BG34","emp_tech_manufacturing",2021,"79.8"
"BG34","emp_tech_manufacturing",2022,"80.6"
"BG34","emp_tech_manufacturing",2023,"86.1"
"BG34","emp_tech_manufacturing",2024,"88.5"
"BG41","emp_tech_manufacturing",2020,"127.9"
"BG41","emp_tech_manufacturing",2021,"130.9"
"BG41","emp_tech_manufacturing",2022,"123.0"
"BG41","emp_tech_manufacturing",2023,"119.2"
"BG41","emp_tech_manufacturing",2024,"108.8"
"BG42","emp_tech_manufacturing",2020,"143.5"
"BG42","emp_tech_manufacturing",2021,"140.8"
"BG42","emp_tech_manufacturing",2022,"143.5"
"BG42","emp_tech_manufacturing",2023,"144.6"
"BG42","emp_tech_manufacturing",2024,"130.0"
"CZ01","emp_tech_manufacturing",2020,"54.4"
"CZ01","emp_tech_manufacturing",2021,"53.5"
"CZ01","emp_tech_manufacturing",2022,"54.3"
"CZ01","emp_tech_manufacturing",2023,"55.8"
"CZ01","emp_tech_manufacturing",2024,"56.9"
"CZ02","emp_tech_manufacturing",2020,"161.0"
"CZ02","emp_tech_manufacturing",2021,"158.2"
"CZ02","emp_tech_manufacturing",2022,"152.9"
"CZ02","emp_tech_manufacturing",2023,"147.3"
"CZ02","emp_tech_manufacturing",2024,"165.2"
