"region_id","indicator","year","value"
"BE10","gdp_total_mil_euro",2014,"76049.18"
"BE10","gdp_total_mil_euro",2015,"78882.48"
"BE10","gdp_total_mil_euro",2016,"80091.73"
"BE10","gdp_total_mil_euro",2017,"82258.01"
"BE10","gdp_total_mil_euro",2018,"84237.94"
"BE10","gdp_total_mil_euro",2019,"87454.96"
"BE10","gdp_total_mil_euro",2020,"84274.66"
"BE10","gdp_total_mil_euro",2021,"90626.54"
"BE10","gdp_total_mil_euro",2022,"97609.27"
"BE10","gdp_total_mil_euro",2023,"103285.03"
"BE21","gdp_total_mil_euro",2014,"76055.11"
"BE21","gdp_total_mil_euro",2015,"79430.67"
"BE21","gdp_total_mil_euro",2016,"82295.28"
"BE21","gdp_total_mil_euro",2017,"85077.73"
"BE21","gdp_total_mil_euro",2018,"87852.28"
"BE21","gdp_total_mil_euro",2019,"91705.01"
"BE21","gdp_total_mil_euro",2020,"89369.44"
"BE21","gdp_total_mil_euro",2021,"96869.86"
"BE21","gdp_total_mil_euro",2022,"109396.79"
"BE21","gdp_total_mil_euro",2023,"114382.42"
"BE22","gdp_total_mil_euro",2014,"25494.5"
"BE22","gdp_total_mil_euro",2015,"25873.33"
"BE22","gdp_total_mil_euro",2016,"26781.5"
"BE22","gdp_total_mil_euro",2017,"27865.47"
"BE22","gdp_total_mil_euro",2018,"28728.56"
"BE22","gdp_total_mil_euro",2019,"29540.63"
"BE22","gdp_total_mil_euro",2020,"28420.51"
"BE22","gdp_total_mil_euro",2021,"31306.17"
"BE22","gdp_total_mil_euro",2022,"34911.99"
"BE22","gdp_total_mil_euro",2023,"36725.81"
"BE23","gdp_total_mil_euro",2014,"47924.08"
"BE23","gdp_total_mil_euro",2015,"50176.97"
"BE23","gdp_total_mil_euro",2016,"52027.03"
"BE23","gdp_total_mil_euro",2017,"54304.33"
"BE23","gdp_total_mil_euro",2018,"55670.76"
"BE23","gdp_total_mil_euro",2019,"57692.55"
"BE23","gdp_total_mil_euro",2020,"56400.01"
"BE23","gdp_total_mil_euro",2021,"63230.35"
"BE23","gdp_total_mil_euro",2022,"71182.27"
"BE23","gdp_total_mil_euro",2023,"74451.62"
"BE24","gdp_total_mil_euro",2014,"42756.87"
"BE24","gdp_total_mil_euro",2015,"44518.88"
"BE24","gdp_total_mil_euro",2016,"46550.41"
"BE24","gdp_total_mil_euro",2017,"48158.68"
"BE24","gdp_total_mil_euro",2018,"50024.55"
"BE24","gdp_total_mil_euro",2019,"52010.44"
"BE24","gdp_total_mil_euro",2020,"49391.96"
"BE24","gdp_total_mil_euro",2021,"56278.86"
"BE24","gdp_total_mil_euro",2022,"64445.14"
"BE24","gdp_total_mil_euro",2023,"69557.57"
"BE25","gdp_total_mil_euro",2014,"41049.89"
"BE25","gdp_total_mil_euro",2015,"42128.19"
"BE25","gdp_total_mil_euro",2016,"43736.16"
"BE25","gdp_total_mil_euro",2017,"45241.89"
"BE25","gdp_total_mil_euro",2018,"46597.39"
"BE25","gdp_total_mil_euro",2019,"48494.07"
"BE25","gdp_total_mil_euro",2020,"46962.23"
"BE25","gdp_total_mil_euro",2021,"51661.96"
"BE25","gdp_total_mil_euro",2022,"57113.19"
"BE25","gdp_total_mil_euro",2023,"60930.99"
"BE31","gdp_total_mil_euro",2014,"15879.51"
"BE31","gdp_total_mil_euro",2015,"16292.47"
"BE31","gdp_total_mil_euro",2016,"17328.49"
"BE31","gdp_total_mil_euro",2017,"18175.87"
"BE31","gdp_total_mil_euro",2018,"20195.88"
"BE31","gdp_total_mil_euro",2019,"22737.29"
"BE31","gdp_total_mil_euro",2020,"22208.17"
"BE31","gdp_total_mil_euro",2021,"21453.0"
"BE31","gdp_total_mil_euro",2022,"24366.33"
"BE31","gdp_total_mil_euro",2023,"26475.1"
"BE32","gdp_total_mil_euro",2014,"30735.48"
"BE32","gdp_total_mil_euro",2015,"31357.85"
"BE32","gdp_total_mil_euro",2016,"32052.95"
"BE32","gdp_total_mil_euro",2017,"33009.56"
"BE32","gdp_total_mil_euro",2018,"34206.21"
"BE32","gdp_total_mil_euro",2019,"34843.36"
"BE32","gdp_total_mil_euro",2020,"33582.19"
"BE32","gdp_total_mil_euro",2021,"36465.47"
"BE32","gdp_total_mil_euro",2022,"40015.6"
"BE32","gdp_total_mil_euro",2023,"42079.15"
"BE33","gdp_total_mil_euro",2014,"28358.8"
"BE33","gdp_total_mil_euro",2015,"28973.52"
"BE33","gdp_total_mil_euro",2016,"29696.65"
"BE33","gdp_total_mil_euro",2017,"30799.97"
"BE33","gdp_total_mil_euro",2018,"31722.93"
"BE33","gdp_total_mil_euro",2019,"32794.78"
"BE33","gdp_total_mil_euro",2020,"32346.35"
"BE33","gdp_total_mil_euro",2021,"35277.77"
"BE33","gdp_total_mil_euro",2022,"39112.4"
"BE33","gdp_total_mil_euro",2023,"41195.63"
"BE34","gdp_total_mil_euro",2014,"6303.52"
"BE34","gdp_total_mil_euro",2015,"6470.84"
"BE34","gdp_total_mil_euro",2016,"6606.17"
"BE34","gdp_total_mil_euro",2017,"6864.28"
"BE34","gdp_total_mil_euro",2018,"7056.42"
"BE34","gdp_total_mil_euro",2019,"7323.64"
"BE34","gdp_total_mil_euro",2020,"7191.67"
"BE34","gdp_total_mil_euro",2021,"7976.1"
"BE34","gdp_total_mil_euro",2022,"8909.14"
"BE34","gdp_total_mil_euro",2023,"9424.04"
"BE35","gdp_total_mil_euro",2014,"12126.9"
"BE35","gdp_total_mil_euro",2015,"12337.57"
"BE35","gdp_total_mil_euro",2016,"12737.95"
"BE35","gdp_total_mil_euro",2017,"13102.96"
"BE35","gdp_total_mil_euro",2018,"13509.46"
"BE35","gdp_total_mil_euro",2019,"13802.93"
"BE35","gdp_total_mil_euro",2020,"13434.41"
"BE35","gdp_total_mil_euro",2021,"14710.46"
"BE35","gdp_total_mil_euro",2022,"16306.4"
"BE35","gdp_total_mil_euro",2023,"17622.97"
"BEZZ","gdp_total_mil_euro",2014,"269.46"
"BEZZ","gdp_total_mil_euro",2015,"258.64"
"BEZZ","gdp_total_mil_euro",2016,"180.98"
"BEZZ","gdp_total_mil_euro",2017,"191.34"
"BEZZ","gdp_total_mil_euro",2018,"248.42"
"BEZZ","gdp_total_mil_euro",2019,"276.56"
"BEZZ","gdp_total_mil_euro",2020,"169.3"
"BEZZ","gdp_total_mil_euro",2021,"166.67"
"BEZZ","gdp_total_mil_euro",2022,"175.1"
"BEZZ","gdp_total_mil_euro",2023,"190.27"
"BG31","gdp_total_mil_euro",2014,"3060.44"
"BG31","gdp_total_mil_euro",2015,"3089.1"
"BG31","gdp_total_mil_euro",2016,"3223.4"
"BG31","gdp_total_mil_euro",2017,"3539.86"
"BG31","gdp_total_mil_euro",2018,"3922.44"
"BG31","gdp_total_mil_euro",2019,"3942.27"
"BG31","gdp_total_mil_euro",2020,"4217.83"
"BG31","gdp_total_mil_euro",2021,"4963.24"
"BG31","gdp_total_mil_euro",2022,"5980.0"
"BG31","gdp_total_mil_euro",2023,"6526.93"
"BG32","gdp_total_mil_euro",2014,"3555.6"
"BG32","gdp_total_mil_euro",2015,"3640.32"
"BG32","gdp_total_mil_euro",2016,"3798.92"
"BG32","gdp_total_mil_euro",2017,"4050.22"
"BG32","gdp_total_mil_euro",2018,"4303.29"
"BG32","gdp_total_mil_euro",2019,"4561.59"
"BG32","gdp_total_mil_euro",2020,"4619.17"
"BG32","gdp_total_mil_euro",2021,"5356.01"
"BG32","gdp_total_mil_euro",2022,"6128.07"
"BG32","gdp_total_mil_euro",2023,"6893.14"
"BG33","gdp_total_mil_euro",2014,"4779.18"
"BG33","gdp_total_mil_euro",2015,"4976.82"
"BG33","gdp_total_mil_euro",2016,"5175.32"
"BG33","gdp_total_mil_euro",2017,"5541.61"
"BG33","gdp_total_mil_euro",2018,"5964.13"
"BG33","gdp_total_mil_euro",2019,"6309.18"
"BG33","gdp_total_mil_euro",2020,"6235.0"
"BG33","gdp_total_mil_euro",2021,"7140.17"
"BG33","gdp_total_mil_euro",2022,"8491.91"
"BG33","gdp_total_mil_euro",2023,"9474.43"
"BG34","gdp_total_mil_euro",2014,"5453.75"
"BG34","gdp_total_mil_euro",2015,"5598.29"
"BG34","gdp_total_mil_euro",2016,"6343.09"
"BG34","gdp_total_mil_euro",2017,"6761.79"
"BG34","gdp_total_mil_euro",2018,"6770.85"
"BG34","gdp_total_mil_euro",2019,"6823.21"
"BG34","gdp_total_mil_euro",2020,"6410.09"
"BG34","gdp_total_mil_euro",2021,"8200.05"
"BG34","gdp_total_mil_euro",2022,"11756.66"
"BG34","gdp_total_mil_euro",2023,"11903.81"
"BG41","gdp_total_mil_euro",2014,"20315.97"
"BG41","gdp_total_mil_euro",2015,"22005.91"
"BG41","gdp_total_mil_euro",2016,"23382.18"
"BG41","gdp_total_mil_euro",2017,"25261.0"
"BG41","gdp_total_mil_euro",2018,"27225.53"
"BG41","gdp_total_mil_euro",2019,"30996.94"
"BG41","gdp_total_mil_euro",2020,"31375.11"
"BG41","gdp_total_mil_euro",2021,"36212.65"
"BG41","gdp_total_mil_euro",2022,"41868.52"
"BG41","gdp_total_mil_euro",2023,"47536.7"
"BG42","gdp_total_mil_euro",2014,"5859.74"
"BG42","gdp_total_mil_euro",2015,"6487.37"
"BG42","gdp_total_mil_euro",2016,"6829.24"
"BG42","gdp_total_mil_euro",2017,"7347.3"
"BG42","gdp_total_mil_euro",2018,"7945.09"
"BG42","gdp_total_mil_euro",2019,"8674.95"
"BG42","gdp_total_mil_euro",2020,"9055.27"
"BG42","gdp_total_mil_euro",2021,"9506.32"
"BG42","gdp_total_mil_euro",2022,"11857.27"
"BG42","gdp_total_mil_euro",2023,"12374.32"
"CZ01","gdp_total_mil_euro",2014,"41276.12"
"CZ01","gdp_total_mil_euro",2015,"44677.59"
"CZ01","gdp_total_mil_euro",2016,"47203.14"
"CZ01","gdp_total_mil_euro",2017,"51669.81"
"CZ01","gdp_total_mil_euro",2018,"57171.96"
"CZ01","gdp_total_mil_euro",2019,"61469.81"
"CZ01","gdp_total_mil_euro",2020,"58671.75"
"CZ01","gdp_total_mil_euro",2021,"66697.28"
"CZ01","gdp_total_mil_euro",2022,"79463.73"
"CZ01","gdp_total_mil_euro",2023,"85494.29"
"CZ02","gdp_total_mil_euro",2014,"18239.69"
"CZ02","gdp_total_mil_euro",2015,"19625.81"
"CZ02","gdp_total_mil_euro",2016,"21180.44"
"CZ02","gdp_total_mil_euro",2017,"23483.02"
"CZ02","gdp_total_mil_euro",2018,"25114.35"
"CZ02","gdp_total_mil_euro",2019,"28086.79"
"CZ02","gdp_total_mil_euro",2020,"26226.77"
"CZ02","gdp_total_mil_euro",2021,"29091.23"
"CZ02","gdp_total_mil_euro",2022,"33943.37"
"CZ02","gdp_total_mil_euro",2023,"37757.12"
"CZ03","gdp_total_mil_euro",2014,"15835.44"
"CZ03","gdp_total_mil_euro",2015,"16849.4"
"CZ03","gdp_total_mil_euro",2016,"17610.32"
"CZ03","gdp_total_mil_euro",2017,"19447.76"
"CZ03","gdp_total_mil_euro",2018,"20960.28"
"CZ03","gdp_total_mil_euro",2019,"22304.26"
"CZ03","gdp_total_mil_euro",2020,"21611.63"
"CZ03","gdp_total_mil_euro",2021,"23898.35"
"CZ03","gdp_total_mil_euro",2022,"27690.85"
"CZ03","gdp_total_mil_euro",2023,"31454.59"
"CZ04","gdp_total_mil_euro",2014,"12092.47"
"CZ04","gdp_total_mil_euro",2015,"13033.09"
"CZ04","gdp_total_mil_euro",2016,"13199.78"
"CZ04","gdp_total_mil_euro",2017,"14341.16"
"CZ04","gdp_total_mil_euro",2018,"15154.22"
"CZ04","gdp_total_mil_euro",2019,"16358.65"
"CZ04","gdp_total_mil_euro",2020,"15366.26"
"CZ04","gdp_total_mil_euro",2021,"17002.35"
"CZ04","gdp_total_mil_euro",2022,"20344.38"
"CZ04","gdp_total_mil_euro",2023,"22675.79"
"CZ05","gdp_total_mil_euro",2014,"18396.16"
"CZ05","gdp_total_mil_euro",2015,"19730.04"
"CZ05","gdp_total_mil_euro",2016,"20853.03"
"CZ05","gdp_total_mil_euro",2017,"23221.5"
"CZ05","gdp_total_mil_euro",2018,"24995.82"
"CZ05","gdp_total_mil_euro",2019,"26718.89"
"CZ05","gdp_total_mil_euro",2020,"26144.0"
"CZ05","gdp_total_mil_euro",2021,"28208.12"
"CZ05","gdp_total_mil_euro",2022,"32366.68"
"CZ05","gdp_total_mil_euro",2023,"36454.33"
"CZ06","gdp_total_mil_euro",2014,"23184.6"
"CZ06","gdp_total_mil_euro",2015,"24831.2"
"CZ06","gdp_total_mil_euro",2016,"25780.98"
"CZ06","gdp_total_mil_euro",2017,"28244.11"
"CZ06","gdp_total_mil_euro",2018,"30897.38"
"CZ06","gdp_total_mil_euro",2019,"33306.67"
"CZ06","gdp_total_mil_euro",2020,"33055.43"
"CZ06","gdp_total_mil_euro",2021,"37229.78"
"CZ06","gdp_total_mil_euro",2022,"42667.11"
"CZ06","gdp_total_mil_euro",2023,"47645.62"
"CZ07","gdp_total_mil_euro",2014,"14809.14"
"CZ07","gdp_total_mil_euro",2015,"15780.69"
"CZ07","gdp_total_mil_euro",2016,"16563.39"
"CZ07","gdp_total_mil_euro",2017,"18262.41"
"CZ07","gdp_total_mil_euro",2018,"19538.42"
"CZ07","gdp_total_mil_euro",2019,"21018.35"
"CZ07","gdp_total_mil_euro",2020,"20346.68"
"CZ07","gdp_total_mil_euro",2021,"22470.94"
"CZ07","gdp_total_mil_euro",2022,"25723.59"
"CZ07","gdp_total_mil_euro",2023,"28611.96"
"CZ08","gdp_total_mil_euro",2014,"15157.91"
"CZ08","gdp_total_mil_euro",2015,"15999.45"
"CZ08","gdp_total_mil_euro",2016,"16754.79"
"CZ08","gdp_total_mil_euro",2017,"18068.97"
