"region_id","indicator","year","value"
"BE10","inab_finan_expen_Sheet_1",2021,"35.8"
"BE10","inab_finan_expen_Sheet_1",2022,"38.8"
"BE10","inab_finan_expen_Sheet_1",2023,"38.7"
"BE10","inab_finan_expen_Sheet_1",2024,"38.3"
"BE21","inab_finan_expen_Sheet_1",2021,"22.1"
"BE21","inab_finan_expen_Sheet_1",2022,"20.3"
"BE21","inab_finan_expen_Sheet_1",2023,"18.5"
"BE21","inab_finan_expen_Sheet_1",2024,"18.2"
"BE22","inab_finan_expen_Sheet_1",2021,"12.2"
"BE22","inab_finan_expen_Sheet_1",2022,"11.1"
"BE22","inab_finan_expen_Sheet_1",2023,"9.7"
"BE22","inab_finan_expen_Sheet_1",2024,"10.1"
"BE23","inab_finan_expen_Sheet_1",2021,"10.9"
"BE23","inab_finan_expen_Sheet_1",2022,"11.2"
"BE23","inab_finan_expen_Sheet_1",2023,"11.8"
"BE23","inab_finan_expen_Sheet_1",2024,"14.4"
"BE24","inab_finan_expen_Sheet_1",2021,"9.5"
"BE24","inab_finan_expen_Sheet_1",2022,"10.3"
"BE24","inab_finan_expen_Sheet_1",2023,"9.6"
"BE24","inab_finan_expen_Sheet_1",2024,"9.4"
"BE25","inab_finan_expen_Sheet_1",2021,"11.2"
"BE25","inab_finan_expen_Sheet_1",2022,"10.4"
"BE25","inab_finan_expen_Sheet_1",2023,"9.8"
"BE25","inab_finan_expen_Sheet_1",2024,"9.8"
"BE31","inab_finan_expen_Sheet_1",2021,"26.6"
"BE31","inab_finan_expen_Sheet_1",2022,"27.4"
"BE31","inab_finan_expen_Sheet_1",2023,"26.3"
"BE31","inab_finan_expen_Sheet_1",2024,"23.4"
"BE32","inab_finan_expen_Sheet_1",2021,"41.2"
"BE32","inab_finan_expen_Sheet_1",2022,"43.0"
"BE32","inab_finan_expen_Sheet_1",2023,"41.2"
"BE32","inab_finan_expen_Sheet_1",2024,"41.0"
"BE33","inab_finan_expen_Sheet_1",2021,"28.9"
"BE33","inab_finan_expen_Sheet_1",2022,"30.0"
"BE33","inab_finan_expen_Sheet_1",2023,"28.0"
"BE33","inab_finan_expen_Sheet_1",2024,"27.4"
"BE34","inab_finan_expen_Sheet_1",2021,"27.6"
"BE34","inab_finan_expen_Sheet_1",2022,"28.1"
"BE34","inab_finan_expen_Sheet_1",2023,"28.2"
"BE34","inab_finan_expen_Sheet_1",2024,"25.3"
"BE35","inab_finan_expen_Sheet_1",2021,"26.9"
"BE35","inab_finan_expen_Sheet_1",2022,"28.5"
"BE35","inab_finan_expen_Sheet_1",2023,"28.0"
"BE35","inab_finan_expen_Sheet_1",2024,"24.4"
"BG31","inab_finan_expen_Sheet_1",2021,"38.8"
"BG31","inab_finan_expen_Sheet_1",2022,"42.0"
"BG31","inab_finan_expen_Sheet_1",2023,"48.7"
"BG31","inab_finan_expen_Sheet_1",2024,"44.9"
"BG32","inab_finan_expen_Sheet_1",2021,"43.3"
"BG32","inab_finan_expen_Sheet_1",2022,"54.1"
"BG32","inab_finan_expen_Sheet_1",2023,"53.2"
"BG32","inab_finan_expen_Sheet_1",2024,"49.3"
"BG33","inab_finan_expen_Sheet_1",2021,"34.7"
"BG33","inab_finan_expen_Sheet_1",2022,"42.3"
"BG33","inab_finan_expen_Sheet_1",2023,"55.6"
"BG33","inab_finan_expen_Sheet_1",2024,"58.2"
"BG34","inab_finan_expen_Sheet_1",2021,"44.7"
"BG34","inab_finan_expen_Sheet_1",2022,"50.2"
"BG34","inab_finan_expen_Sheet_1",2023,"51.7"
"BG34","inab_finan_expen_Sheet_1",2024,"52.0"
"BG41","inab_finan_expen_Sheet_1",2021,"25.9"
"BG41","inab_finan_expen_Sheet_1",2022,"29.8"
"BG41","inab_finan_expen_Sheet_1",2023,"33.7"
"BG41","inab_finan_expen_Sheet_1",2024,"32.0"
"BG42","inab_finan_expen_Sheet_1",2021,"41.8"
"BG42","inab_finan_expen_Sheet_1",2022,"49.3"
"BG42","inab_finan_expen_Sheet_1",2023,"53.2"
"BG42","inab_finan_expen_Sheet_1",2024,"52.2"
"CZ01","inab_finan_expen_Sheet_1",2021,"14.4"
"CZ01","inab_finan_expen_Sheet_1",2022,"13.7"
"CZ01","inab_finan_expen_Sheet_1",2023,"14.0"
"CZ01","inab_finan_expen_Sheet_1",2024,"14.5"
"CZ02","inab_finan_expen_Sheet_1",2021,"14.8"
"CZ02","inab_finan_expen_Sheet_1",2022,"15.2"
"CZ02","inab_finan_expen_Sheet_1",2023,"17.6"
"CZ02","inab_finan_expen_Sheet_1",2024,"18.8"
"CZ03","inab_finan_expen_Sheet_1",2021,"14.0"
"CZ03","inab_finan_expen_Sheet_1",2022,"15.0"
"CZ03","inab_finan_expen_Sheet_1",2023,"16.9"
"CZ03","inab_finan_expen_Sheet_1",2024,"18.4"
"CZ04","inab_finan_expen_Sheet_1",2021,"28.4"
"CZ04","inab_finan_expen_Sheet_1",2022,"25.9"
"CZ04","inab_finan_expen_Sheet_1",2023,"26.0"
"CZ04","inab_finan_expen_Sheet_1",2024,"25.9"
"CZ05","inab_finan_expen_Sheet_1",2021,"19.4"
"CZ05","inab_finan_expen_Sheet_1",2022,"17.1"
"CZ05","inab_finan_expen_Sheet_1",2023,"25.0"
"CZ05","inab_finan_expen_Sheet_1",2024,"22.5"
"CZ06","inab_finan_expen_Sheet_1",2021,"15.2"
"CZ06","inab_finan_expen_Sheet_1",2022,"15.5"
"CZ06","inab_finan_expen_Sheet_1",2023,"17.7"
"CZ06","inab_finan_expen_Sheet_1",2024,"15.9"
"CZ07","inab_finan_expen_Sheet_1",2021,"19.5"
"CZ07","inab_finan_expen_Sheet_1",2022,"20.0"
"CZ07","inab_finan_expen_Sheet_1",2023,"17.2"
"CZ07","inab_finan_expen_Sheet_1",2024,"15.2"
"CZ08","inab_finan_expen_Sheet_1",2021,"21.3"
"CZ08","inab_finan_expen_Sheet_1",2022,"20.4"
"CZ08","inab_finan_expen_Sheet_1",2023,"24.2"
"CZ08","inab_finan_expen_Sheet_1",2024,"23.9"
"DK01","inab_finan_expen_Sheet_1",2021,"18.9"
"DK01","inab_finan_expen_Sheet_1",2022,"16.3"
"DK01","inab_finan_expen_Sheet_1",2023,"21.6"
"DK01","inab_finan_expen_Sheet_1",2024,"18.8"
"DK02","inab_finan_expen_Sheet_1",2021,"22.0"
"DK02","inab_finan_expen_Sheet_1",2022,"24.0"
"DK02","inab_finan_expen_Sheet_1",2023,"22.6"
"DK02","inab_finan_expen_Sheet_1",2024,"22.5"
"DK03","inab_finan_expen_Sheet_1",2021,"21.3"
"DK03","inab_finan_expen_Sheet_1",2022,"22.8"
"DK03","inab_finan_expen_Sheet_1",2023,"24.9"
"DK03","inab_finan_expen_Sheet_1",2024,"22.1"
"DK04","inab_finan_expen_Sheet_1",2021,"17.6"
"DK04","inab_finan_expen_Sheet_1",2022,"18.9"
"DK04","inab_finan_expen_Sheet_1",2023,"22.8"
"DK04","inab_finan_expen_Sheet_1",2024,"21.9"
"DK05","inab_finan_expen_Sheet_1",2021,"18.8"
"DK05","inab_finan_expen_Sheet_1",2022,"24.1"
"DK05","inab_finan_expen_Sheet_1",2023,"25.5"
"DK05","inab_finan_expen_Sheet_1",2024,"21.9"
"DE11","inab_finan_expen_Sheet_1",2021,"29.0"
"DE11","inab_finan_expen_Sheet_1",2022,"31.5"
"DE11","inab_finan_expen_Sheet_1",2023,"34.4"
"DE11","inab_finan_expen_Sheet_1",2024,"35.1"
"DE12","inab_finan_expen_Sheet_1",2021,"30.9"
"DE12","inab_finan_expen_Sheet_1",2022,"31.2"
"DE12","inab_finan_expen_Sheet_1",2023,"32.1"
"DE12","inab_finan_expen_Sheet_1",2024,"28.9"
"DE13","inab_finan_expen_Sheet_1",2021,"28.2"
"DE13","inab_finan_expen_Sheet_1",2022,"33.4"
"DE13","inab_finan_expen_Sheet_1",2023,"35.8"
"DE13","inab_finan_expen_Sheet_1",2024,"35.0"
"DE14","inab_finan_expen_Sheet_1",2021,"31.0"
"DE14","inab_finan_expen_Sheet_1",2022,"31.6"
"DE14","inab_finan_expen_Sheet_1",2023,"32.1"
"DE14","inab_finan_expen_Sheet_1",2024,"30.1"
"DE21","inab_finan_expen_Sheet_1",2021,"22.4"
"DE21","inab_finan_expen_Sheet_1",2022,"22.5"
"DE21","inab_finan_expen_Sheet_1",2023,"22.4"
"DE21","inab_finan_expen_Sheet_1",2024,"18.9"
"DE22","inab_finan_expen_Sheet_1",2021,"24.0"
"DE22","inab_finan_expen_Sheet_1",2022,"24.1"
"DE22","inab_finan_expen_Sheet_1",2023,"20.5"
"DE22","inab_finan_expen_Sheet_1",2024,"24.0"
"DE23","inab_finan_expen_Sheet_1",2021,"24.9"
"DE23","inab_finan_expen_Sheet_1",2022,"20.5"
"DE23","inab_finan_expen_Sheet_1",2023,"15.2"
"DE23","inab_finan_expen_Sheet_1",2024,"10.6"
"DE24","inab_finan_expen_Sheet_1",2021,"27.3"
"DE24","inab_finan_expen_Sheet_1",2022,"24.6"
"DE24","inab_finan_expen_Sheet_1",2023,"23.6"
"DE24","inab_finan_expen_Sheet_1",2024,"22.0"
"DE25","inab_finan_expen_Sheet_1",2021,"26.9"
"DE25","inab_finan_expen_Sheet_1",2022,"25.7"
"DE25","inab_finan_expen_Sheet_1",2023,"29.2"
"DE25","inab_finan_expen_Sheet_1",2024,"25.4"
"DE26","inab_finan_expen_Sheet_1",2021,"29.5"
"DE26","inab_finan_expen_Sheet_1",2022,"27.2"
"DE26","inab_finan_expen_Sheet_1",2023,"27.9"
"DE26","inab_finan_expen_Sheet_1",2024,"21.7"
"DE27","inab_finan_expen_Sheet_1",2021,"23.4"
"DE27","inab_finan_expen_Sheet_1",2022,"24.2"
"DE27","inab_finan_expen_Sheet_1",2023,"24.1"
"DE27","inab_finan_expen_Sheet_1",2024,"18.4"
"DE30","inab_finan_expen_Sheet_1",2021,"32.4"
"DE30","inab_finan_expen_Sheet_1",2022,"29.5"
"DE30","inab_finan_expen_Sheet_1",2023,"33.6"
"DE30","inab_finan_expen_Sheet_1",2024,"29.1"
"DE40","inab_finan_expen_Sheet_1",2021,"31.5"
"DE40","inab_finan_expen_Sheet_1",2022,"32.2"
"DE40","inab_finan_expen_Sheet_1",2023,"33.3"
"DE40","inab_finan_expen_Sheet_1",2024,"31.3"
"DE50","inab_finan_expen_Sheet_1",2021,"48.4"
"DE50","inab_finan_expen_Sheet_1",2022,"51.7"
"DE50","inab_finan_expen_Sheet_1",2023,"52.3"
"DE50","inab_finan_expen_Sheet_1",2024,"52.4"
"DE60","inab_finan_expen_Sheet_1",2021,"29.9"
"DE60","inab_finan_expen_Sheet_1",2022,"36.0"
"DE60","inab_finan_expen_Sheet_1",2023,"39.6"
"DE60","inab_finan_expen_Sheet_1",2024,"30.6"
"DE71","inab_finan_expen_Sheet_1",2021,"38.3"
"DE71","inab_finan_expen_Sheet_1",2022,"38.3"
"DE71","inab_finan_expen_Sheet_1",2023,"34.2"
"DE71","inab_finan_expen_Sheet_1",2024,"31.8"
"DE72","inab_finan_expen_Sheet_1",2021,"32.1"
"DE72","inab_finan_expen_Sheet_1",2022,"37.2"
"DE72","inab_finan_expen_Sheet_1",2023,"36.3"
"DE72","inab_finan_expen_Sheet_1",2024,"37.1"
"DE73","inab_finan_expen_Sheet_1",2021,"40.6"
"DE73","inab_finan_expen_Sheet_1",2022,"43.7"
"DE73","inab_finan_expen_Sheet_1",2023,"42.3"
"DE73","inab_finan_expen_Sheet_1",2024,"38.7"
"DE80","inab_finan_expen_Sheet_1",2021,"39.3"
"DE80","inab_finan_expen_Sheet_1",2022,"42.8"
"DE80","inab_finan_expen_Sheet_1",2023,"42.8"
"DE80","inab_finan_expen_Sheet_1",2024,"34.3"
"DE91","inab_finan_expen_Sheet_1",2021,"41.0"
"DE91","inab_finan_expen_Sheet_1",2022,"41.8"
"DE91","inab_finan_expen_Sheet_1",2023,"42.8"
"DE91","inab_finan_expen_Sheet_1",2024,"39.3"
"DE92","inab_finan_expen_Sheet_1",2021,"36.1"
"DE92","inab_finan_expen_Sheet_1",2022,"40.6"
"DE92","inab_finan_expen_Sheet_1",2023,"40.9"
"DE92","inab_finan_expen_Sheet_1",2024,"35.3"
"DE93","inab_finan_expen_Sheet_1",2021,"32.7"
"DE93","inab_finan_expen_Sheet_1",2022,"35.0"
"DE93","inab_finan_expen_Sheet_1",2023,"34.1"
"DE93","inab_finan_expen_Sheet_1",2024,"35.1"
"DE94","inab_finan_expen_Sheet_1",2021,"35.1"
"DE94","inab_finan_expen_Sheet_1",2022,"39.7"
"DE94","inab_finan_expen_Sheet_1",2023,"41.3"
"DE94","inab_finan_expen_Sheet_1",2024,"36.4"
"DEA1","inab_finan_expen_Sheet_1",2021,"40.8"
"DEA1","inab_finan_expen_Sheet_1",2022,"41.3"
"DEA1","inab_finan_expen_Sheet_1",2023,"42.6"
"DEA1","inab_finan_expen_Sheet_1",2024,"37.8"
"DEA2","inab_finan_expen_Sheet_1",2021,"34.1"
"DEA2","inab_finan_expen_Sheet_1",2022,"35.2"
"DEA2","inab_finan_expen_Sheet_1",2023,"39.4"
"DEA2","inab_finan_expen_Sheet_1",2024,"34.4"
"DEA3","inab_finan_expen_Sheet_1",2021,"35.0"
"DEA3","inab_finan_expen_Sheet_1",2022,"37.6"
"DEA3","inab_finan_expen_Sheet_1",2023,"43.1"
"DEA3","inab_finan_expen_Sheet_1",2024,"40.7"
"DEA4","inab_finan_expen_Sheet_1",2021,"36.5"
"DEA4","inab_finan_expen_Sheet_1",2022,"34.4"
"DEA4","inab_finan_expen_Sheet_1",2023,"35.6"
"DEA4","inab_finan_expen_Sheet_1",2024,"35.2"
"DEA5","inab_finan_expen_Sheet_1",2021,"38.2"
"DEA5","inab_finan_expen_Sheet_1",2022,"42.6"
"DEA5","inab_finan_expen_Sheet_1",2023,"40.8"
"DEA5","inab_finan_expen_Sheet_1",2024,"39.6"
"DEB1","inab_finan_expen_Sheet_1",2021,"35.9"
"DEB1","inab_finan_expen_Sheet_1",2022,"36.6"
"DEB1","inab_finan_expen_Sheet_1",2023,"38.7"
"DEB1","inab_finan_expen_Sheet_1",2024,"38.7"
"DEB2","inab_finan_expen_Sheet_1",2021,"22.5"
"DEB2","inab_finan_expen_Sheet_1",2022,"23.8"
"DEB2","inab_finan_expen_Sheet_1",2023,"22.5"
"DEB2","inab_finan_expen_Sheet_1",2024,"32.9"
"DEB3","inab_finan_expen_Sheet_1",2021,"35.2"
"DEB3","inab_finan_expen_Sheet_1",2022,"35.0"
"DEB3","inab_finan_expen_Sheet_1",2023,"36.0"
"DEB3","inab_finan_expen_Sheet_1",2024,"35.1"
"DEC0","inab_finan_expen_Sheet_1",2021,"27.8"
"DEC0","inab_finan_expen_Sheet_1",2022,"36.4"
"DEC0","inab_finan_expen_Sheet_1",2023,"37.9"
"DEC0","inab_finan_expen_Sheet_1",2024,"39.7"
"DED2","inab_finan_expen_Sheet_1",2021,"22.8"
"DED2","inab_finan_expen_Sheet_1",2022,"25.2"
"DED2","inab_finan_expen_Sheet_1",2023,"25.6"
"DED2","inab_finan_expen_Sheet_1",2024,"24.7"
"DED4","inab_finan_expen_Sheet_1",2021,"24.9"
"DED4","inab_finan_expen_Sheet_1",2022,"28.1"
"DED4","inab_finan_expen_Sheet_1",2023,"32.0"
"DED4","inab_finan_expen_Sheet_1",2024,"28.1"
"DED5","inab_finan_expen_Sheet_1",2021,"31.4"
"DED5","inab_finan_expen_Sheet_1",2022,"27.3"
"DED5","inab_finan_expen_Sheet_1",2023,"30.4"
"DED5","inab_finan_expen_Sheet_1",2024,"35.8"
"DEE0","inab_finan_expen_Sheet_1",2021,"29.3"
