"region_id","indicator","year","value"
"BE10","labour_force_Sheet_1",2015,"517.4"
"BE10","labour_force_Sheet_1",2016,"525.7"
"BE10","labour_force_Sheet_1",2017,"523.1"
"BE10","labour_force_Sheet_1",2018,"522.6"
"BE10","labour_force_Sheet_1",2019,"526.2"
"BE10","labour_force_Sheet_1",2020,"525.7"
"BE10","labour_force_Sheet_1",2021,"536.3"
"BE10","labour_force_Sheet_1",2022,"563.3"
"BE10","labour_force_Sheet_1",2023,"577.7"
"BE10","labour_force_Sheet_1",2024,"568.7"
"BE21","labour_force_Sheet_1",2015,"804.7"
"BE21","labour_force_Sheet_1",2016,"792.7"
"BE21","labour_force_Sheet_1",2017,"805.9"
"BE21","labour_force_Sheet_1",2018,"819.0"
"BE21","labour_force_Sheet_1",2019,"833.5"
"BE21","labour_force_Sheet_1",2020,"822.2"
"BE21","labour_force_Sheet_1",2021,"830.7"
"BE21","labour_force_Sheet_1",2022,"861.7"
"BE21","labour_force_Sheet_1",2023,"861.5"
"BE21","labour_force_Sheet_1",2024,"870.9"
"BE22","labour_force_Sheet_1",2015,"381.0"
"BE22","labour_force_Sheet_1",2016,"380.5"
"BE22","labour_force_Sheet_1",2017,"387.8"
"BE22","labour_force_Sheet_1",2018,"386.7"
"BE22","labour_force_Sheet_1",2019,"385.5"
"BE22","labour_force_Sheet_1",2020,"382.4"
"BE22","labour_force_Sheet_1",2021,"386.4"
"BE22","labour_force_Sheet_1",2022,"399.1"
"BE22","labour_force_Sheet_1",2023,"404.5"
"BE22","labour_force_Sheet_1",2024,"403.0"
"BE23","labour_force_Sheet_1",2015,"669.7"
"BE23","labour_force_Sheet_1",2016,"678.0"
"BE23","labour_force_Sheet_1",2017,"669.1"
"BE23","labour_force_Sheet_1",2018,"687.7"
"BE23","labour_force_Sheet_1",2019,"697.6"
"BE23","labour_force_Sheet_1",2020,"703.7"
"BE23","labour_force_Sheet_1",2021,"726.1"
"BE23","labour_force_Sheet_1",2022,"731.9"
"BE23","labour_force_Sheet_1",2023,"731.8"
"BE23","labour_force_Sheet_1",2024,"735.5"
"BE24","labour_force_Sheet_1",2015,"507.2"
"BE24","labour_force_Sheet_1",2016,"508.9"
"BE24","labour_force_Sheet_1",2017,"509.8"
"BE24","labour_force_Sheet_1",2018,"518.2"
"BE24","labour_force_Sheet_1",2019,"523.5"
"BE24","labour_force_Sheet_1",2020,"519.7"
"BE24","labour_force_Sheet_1",2021,"516.6"
"BE24","labour_force_Sheet_1",2022,"515.7"
"BE24","labour_force_Sheet_1",2023,"521.3"
"BE24","labour_force_Sheet_1",2024,"529.6"
"BE25","labour_force_Sheet_1",2015,"520.6"
"BE25","labour_force_Sheet_1",2016,"520.2"
"BE25","labour_force_Sheet_1",2017,"524.5"
"BE25","labour_force_Sheet_1",2018,"532.7"
"BE25","labour_force_Sheet_1",2019,"536.4"
"BE25","labour_force_Sheet_1",2020,"533.8"
"BE25","labour_force_Sheet_1",2021,"536.5"
"BE25","labour_force_Sheet_1",2022,"539.6"
"BE25","labour_force_Sheet_1",2023,"550.0"
"BE25","labour_force_Sheet_1",2024,"544.6"
"BE31","labour_force_Sheet_1",2015,"172.9"
"BE31","labour_force_Sheet_1",2016,"173.6"
"BE31","labour_force_Sheet_1",2017,"177.7"
"BE31","labour_force_Sheet_1",2018,"175.6"
"BE31","labour_force_Sheet_1",2019,"176.1"
"BE31","labour_force_Sheet_1",2020,"175.4"
"BE31","labour_force_Sheet_1",2021,"181.3"
"BE31","labour_force_Sheet_1",2022,"185.4"
"BE31","labour_force_Sheet_1",2023,"185.7"
"BE31","labour_force_Sheet_1",2024,"185.7"
"BE32","labour_force_Sheet_1",2015,"524.4"
"BE32","labour_force_Sheet_1",2016,"532.7"
"BE32","labour_force_Sheet_1",2017,"522.6"
"BE32","labour_force_Sheet_1",2018,"518.0"
"BE32","labour_force_Sheet_1",2019,"517.9"
"BE32","labour_force_Sheet_1",2020,"509.0"
"BE32","labour_force_Sheet_1",2021,"528.1"
"BE32","labour_force_Sheet_1",2022,"531.9"
"BE32","labour_force_Sheet_1",2023,"536.4"
"BE32","labour_force_Sheet_1",2024,"546.3"
"BE33","labour_force_Sheet_1",2015,"451.8"
"BE33","labour_force_Sheet_1",2016,"444.7"
"BE33","labour_force_Sheet_1",2017,"439.6"
"BE33","labour_force_Sheet_1",2018,"440.6"
"BE33","labour_force_Sheet_1",2019,"442.2"
"BE33","labour_force_Sheet_1",2020,"449.7"
"BE33","labour_force_Sheet_1",2021,"458.4"
"BE33","labour_force_Sheet_1",2022,"451.7"
"BE33","labour_force_Sheet_1",2023,"441.9"
"BE33","labour_force_Sheet_1",2024,"447.0"
"BE34","labour_force_Sheet_1",2015,"121.8"
"BE34","labour_force_Sheet_1",2016,"121.9"
"BE34","labour_force_Sheet_1",2017,"124.2"
"BE34","labour_force_Sheet_1",2018,"123.4"
"BE34","labour_force_Sheet_1",2019,"125.2"
"BE34","labour_force_Sheet_1",2020,"125.8"
"BE34","labour_force_Sheet_1",2021,"129.7"
"BE34","labour_force_Sheet_1",2022,"130.1"
"BE34","labour_force_Sheet_1",2023,"128.9"
"BE34","labour_force_Sheet_1",2024,"130.1"
"BE35","labour_force_Sheet_1",2015,"204.7"
"BE35","labour_force_Sheet_1",2016,"204.9"
"BE35","labour_force_Sheet_1",2017,"207.2"
"BE35","labour_force_Sheet_1",2018,"208.4"
"BE35","labour_force_Sheet_1",2019,"204.6"
"BE35","labour_force_Sheet_1",2020,"207.5"
"BE35","labour_force_Sheet_1",2021,"207.9"
"BE35","labour_force_Sheet_1",2022,"210.5"
"BE35","labour_force_Sheet_1",2023,"211.0"
"BE35","labour_force_Sheet_1",2024,"217.4"
"BG31","labour_force_Sheet_1",2015,"309.6"
"BG31","labour_force_Sheet_1",2016,"290.8"
"BG31","labour_force_Sheet_1",2017,"301.2"
"BG31","labour_force_Sheet_1",2018,"298.2"
"BG31","labour_force_Sheet_1",2019,"284.9"
"BG31","labour_force_Sheet_1",2020,"282.0"
"BG31","labour_force_Sheet_1",2021,"274.7"
"BG31","labour_force_Sheet_1",2022,"266.6"
"BG31","labour_force_Sheet_1",2023,"263.0"
"BG31","labour_force_Sheet_1",2024,"271.0"
"BG32","labour_force_Sheet_1",2015,"357.4"
"BG32","labour_force_Sheet_1",2016,"351.8"
"BG32","labour_force_Sheet_1",2017,"348.2"
"BG32","labour_force_Sheet_1",2018,"344.2"
"BG32","labour_force_Sheet_1",2019,"326.3"
"BG32","labour_force_Sheet_1",2020,"314.7"
"BG32","labour_force_Sheet_1",2021,"303.5"
"BG32","labour_force_Sheet_1",2022,"299.5"
"BG32","labour_force_Sheet_1",2023,"299.7"
"BG32","labour_force_Sheet_1",2024,"293.7"
"BG33","labour_force_Sheet_1",2015,"441.8"
"BG33","labour_force_Sheet_1",2016,"431.3"
"BG33","labour_force_Sheet_1",2017,"439.7"
"BG33","labour_force_Sheet_1",2018,"425.8"
"BG33","labour_force_Sheet_1",2019,"383.2"
"BG33","labour_force_Sheet_1",2020,"373.2"
"BG33","labour_force_Sheet_1",2021,"376.7"
"BG33","labour_force_Sheet_1",2022,"389.7"
"BG33","labour_force_Sheet_1",2023,"384.7"
"BG33","labour_force_Sheet_1",2024,"394.6"
"BG34","labour_force_Sheet_1",2015,"459.7"
"BG34","labour_force_Sheet_1",2016,"454.2"
"BG34","labour_force_Sheet_1",2017,"467.5"
"BG34","labour_force_Sheet_1",2018,"461.3"
"BG34","labour_force_Sheet_1",2019,"433.4"
"BG34","labour_force_Sheet_1",2020,"416.6"
"BG34","labour_force_Sheet_1",2021,"410.2"
"BG34","labour_force_Sheet_1",2022,"414.5"
"BG34","labour_force_Sheet_1",2023,"418.3"
"BG34","labour_force_Sheet_1",2024,"423.9"
"BG41","labour_force_Sheet_1",2015,"1048.1"
"BG41","labour_force_Sheet_1",2016,"1034.1"
"BG41","labour_force_Sheet_1",2017,"1050.5"
"BG41","labour_force_Sheet_1",2018,"1056.3"
"BG41","labour_force_Sheet_1",2019,"1030.9"
"BG41","labour_force_Sheet_1",2020,"1009.8"
"BG41","labour_force_Sheet_1",2021,"999.0"
"BG41","labour_force_Sheet_1",2022,"1015.9"
"BG41","labour_force_Sheet_1",2023,"1000.0"
