"region_id","indicator","year","value"
"BE10","labour_mk_slack_Sheet_1",2015,"142.3"
"BE10","labour_mk_slack_Sheet_1",2016,"140.2"
"BE10","labour_mk_slack_Sheet_1",2017,"132.6"
"BE10","labour_mk_slack_Sheet_1",2018,"126.4"
"BE10","labour_mk_slack_Sheet_1",2019,"123.2"
"BE10","labour_mk_slack_Sheet_1",2020,"126.5"
"BE10","labour_mk_slack_Sheet_1",2021,"123.4"
"BE10","labour_mk_slack_Sheet_1",2022,"112.9"
"BE10","labour_mk_slack_Sheet_1",2023,"106.6"
"BE10","labour_mk_slack_Sheet_1",2024,"109.0"
"BE21","labour_mk_slack_Sheet_1",2015,"93.4"
"BE21","labour_mk_slack_Sheet_1",2016,"78.2"
"BE21","labour_mk_slack_Sheet_1",2017,"85.9"
"BE21","labour_mk_slack_Sheet_1",2018,"81.2"
"BE21","labour_mk_slack_Sheet_1",2019,"72.4"
"BE21","labour_mk_slack_Sheet_1",2020,"83.4"
"BE21","labour_mk_slack_Sheet_1",2021,"88.0"
"BE21","labour_mk_slack_Sheet_1",2022,"74.5"
"BE21","labour_mk_slack_Sheet_1",2023,"68.6"
"BE21","labour_mk_slack_Sheet_1",2024,"73.0"
"BE22","labour_mk_slack_Sheet_1",2015,"47.6"
"BE22","labour_mk_slack_Sheet_1",2016,"44.4"
"BE22","labour_mk_slack_Sheet_1",2017,"40.2"
"BE22","labour_mk_slack_Sheet_1",2018,"38.8"
"BE22","labour_mk_slack_Sheet_1",2019,"35.6"
"BE22","labour_mk_slack_Sheet_1",2020,"34.1"
"BE22","labour_mk_slack_Sheet_1",2021,"34.1"
"BE22","labour_mk_slack_Sheet_1",2022,"30.6"
"BE22","labour_mk_slack_Sheet_1",2023,"27.1"
"BE22","labour_mk_slack_Sheet_1",2024,"31.1"
"BE23","labour_mk_slack_Sheet_1",2015,"55.3"
"BE23","labour_mk_slack_Sheet_1",2016,"51.7"
"BE23","labour_mk_slack_Sheet_1",2017,"53.5"
"BE23","labour_mk_slack_Sheet_1",2018,"46.4"
"BE23","labour_mk_slack_Sheet_1",2019,"48.3"
"BE23","labour_mk_slack_Sheet_1",2020,"46.3"
"BE23","labour_mk_slack_Sheet_1",2021,"43.7"
"BE23","labour_mk_slack_Sheet_1",2022,"38.6"
"BE23","labour_mk_slack_Sheet_1",2023,"42.1"
"BE23","labour_mk_slack_Sheet_1",2024,"51.6"
"BE24","labour_mk_slack_Sheet_1",2015,"44.6"
"BE24","labour_mk_slack_Sheet_1",2016,"48.2"
"BE24","labour_mk_slack_Sheet_1",2017,"48.4"
"BE24","labour_mk_slack_Sheet_1",2018,"41.8"
"BE24","labour_mk_slack_Sheet_1",2019,"39.2"
"BE24","labour_mk_slack_Sheet_1",2020,"41.1"
"BE24","labour_mk_slack_Sheet_1",2021,"39.7"
"BE24","labour_mk_slack_Sheet_1",2022,"35.2"
"BE24","labour_mk_slack_Sheet_1",2023,"36.7"
"BE24","labour_mk_slack_Sheet_1",2024,"39.0"
"BE25","labour_mk_slack_Sheet_1",2015,"45.4"
"BE25","labour_mk_slack_Sheet_1",2016,"39.3"
"BE25","labour_mk_slack_Sheet_1",2017,"40.7"
"BE25","labour_mk_slack_Sheet_1",2018,"38.8"
"BE25","labour_mk_slack_Sheet_1",2019,"37.7"
"BE25","labour_mk_slack_Sheet_1",2020,"42.0"
"BE25","labour_mk_slack_Sheet_1",2021,"38.9"
"BE25","labour_mk_slack_Sheet_1",2022,"27.9"
"BE25","labour_mk_slack_Sheet_1",2023,"28.5"
"BE25","labour_mk_slack_Sheet_1",2024,"26.3"
"BE31","labour_mk_slack_Sheet_1",2015,"24.1"
"BE31","labour_mk_slack_Sheet_1",2016,"22.9"
"BE31","labour_mk_slack_Sheet_1",2017,"27.5"
"BE31","labour_mk_slack_Sheet_1",2018,"23.9"
"BE31","labour_mk_slack_Sheet_1",2019,"20.4"
"BE31","labour_mk_slack_Sheet_1",2020,"22.6"
"BE31","labour_mk_slack_Sheet_1",2021,"26.4"
"BE31","labour_mk_slack_Sheet_1",2022,"20.6"
"BE31","labour_mk_slack_Sheet_1",2023,"23.3"
"BE31","labour_mk_slack_Sheet_1",2024,"22.7"
"BE32","labour_mk_slack_Sheet_1",2015,"106.9"
"BE32","labour_mk_slack_Sheet_1",2016,"100.4"
"BE32","labour_mk_slack_Sheet_1",2017,"103.6"
"BE32","labour_mk_slack_Sheet_1",2018,"95.9"
