"region_id","indicator","year","value"
"AT12","pop_tot_20_64_Sheet_1",176696,990359
"AT12","pop_tot_20_64_Sheet_1",177576,999331
"AT12","pop_tot_20_64_Sheet_1",177308,1006479
"AT12","pop_tot_20_64_Sheet_1",177038,1009309
"AT12","pop_tot_20_64_Sheet_1",176922,1012379
"AT12","pop_tot_20_64_Sheet_1",176634,1013892
"AT12","pop_tot_20_64_Sheet_1",176630,1015085
"AT12","pop_tot_20_64_Sheet_1",176406,1015532
"AT12","pop_tot_20_64_Sheet_1",177074,1021954
"AT12","pop_tot_20_64_Sheet_1",176052,1021019
"AT13","pop_tot_20_64_Sheet_1",176696,1149510
"AT13","pop_tot_20_64_Sheet_1",177576,1179800
"AT13","pop_tot_20_64_Sheet_1",177308,1198910
"AT13","pop_tot_20_64_Sheet_1",177038,1212521
"AT13","pop_tot_20_64_Sheet_1",176922,1218353
"AT13","pop_tot_20_64_Sheet_1",176634,1226771
"AT13","pop_tot_20_64_Sheet_1",176630,1234507
"AT13","pop_tot_20_64_Sheet_1",176406,1240145
"AT13","pop_tot_20_64_Sheet_1",177074,1274042
"AT13","pop_tot_20_64_Sheet_1",176052,1289407
"AT21","pop_tot_20_64_Sheet_1",176696,338087
"AT21","pop_tot_20_64_Sheet_1",177576,339429
"AT21","pop_tot_20_64_Sheet_1",177308,339054
"AT21","pop_tot_20_64_Sheet_1",177038,337765
"AT21","pop_tot_20_64_Sheet_1",176922,336924
"AT21","pop_tot_20_64_Sheet_1",176634,335830
"AT21","pop_tot_20_64_Sheet_1",176630,335257
"AT21","pop_tot_20_64_Sheet_1",176406,334553
"AT21","pop_tot_20_64_Sheet_1",177074,335434
"AT21","pop_tot_20_64_Sheet_1",176052,333477
"AT22","pop_tot_20_64_Sheet_1",176696,756340
"AT22","pop_tot_20_64_Sheet_1",177576,761948
"AT22","pop_tot_20_64_Sheet_1",177308,764628
"AT22","pop_tot_20_64_Sheet_1",177038,765770
"AT22","pop_tot_20_64_Sheet_1",176922,766187
"AT22","pop_tot_20_64_Sheet_1",176634,765957
"AT22","pop_tot_20_64_Sheet_1",176630,764101
"AT22","pop_tot_20_64_Sheet_1",176406,763289
"AT22","pop_tot_20_64_Sheet_1",177074,767042
"AT22","pop_tot_20_64_Sheet_1",176052,765476
"AT31","pop_tot_20_64_Sheet_1",176696,883313
"AT31","pop_tot_20_64_Sheet_1",177576,893695
"AT31","pop_tot_20_64_Sheet_1",177308,900015
"AT31","pop_tot_20_64_Sheet_1",177038,904324
"AT31","pop_tot_20_64_Sheet_1",176922,908048
"AT31","pop_tot_20_64_Sheet_1",176634,910614
"AT31","pop_tot_20_64_Sheet_1",176630,911409
"AT31","pop_tot_20_64_Sheet_1",176406,913402
"AT31","pop_tot_20_64_Sheet_1",177074,920291
"AT31","pop_tot_20_64_Sheet_1",176052,920272
"AT32","pop_tot_20_64_Sheet_1",176696,332383
"AT32","pop_tot_20_64_Sheet_1",177576,336704
"AT32","pop_tot_20_64_Sheet_1",177308,338460
"AT32","pop_tot_20_64_Sheet_1",177038,339867
"AT32","pop_tot_20_64_Sheet_1",176922,341369
"AT32","pop_tot_20_64_Sheet_1",176634,342430
"AT32","pop_tot_20_64_Sheet_1",176630,343003
"AT32","pop_tot_20_64_Sheet_1",176406,342505
"AT32","pop_tot_20_64_Sheet_1",177074,344835
"AT32","pop_tot_20_64_Sheet_1",176052,345677
"AT33","pop_tot_20_64_Sheet_1",176696,455441
"AT33","pop_tot_20_64_Sheet_1",177576,462334
"AT33","pop_tot_20_64_Sheet_1",177308,466895
"AT33","pop_tot_20_64_Sheet_1",177038,469577
"AT33","pop_tot_20_64_Sheet_1",176922,471224
"AT33","pop_tot_20_64_Sheet_1",176634,471985
"AT33","pop_tot_20_64_Sheet_1",176630,472513
"AT33","pop_tot_20_64_Sheet_1",176406,472730
"AT33","pop_tot_20_64_Sheet_1",177074,475470
"AT33","pop_tot_20_64_Sheet_1",176052,476533
"AT34","pop_tot_20_64_Sheet_1",176696,231938
"AT34","pop_tot_20_64_Sheet_1",177576,235102
"AT34","pop_tot_20_64_Sheet_1",177308,237874
"AT34","pop_tot_20_64_Sheet_1",177038,239605
"AT34","pop_tot_20_64_Sheet_1",176922,241114
"AT34","pop_tot_20_64_Sheet_1",176634,242409
"AT34","pop_tot_20_64_Sheet_1",176630,243135
"AT34","pop_tot_20_64_Sheet_1",176406,243883
"AT34","pop_tot_20_64_Sheet_1",177074,246366
"AT34","pop_tot_20_64_Sheet_1",176052,247483
"BE10","pop_tot_20_64_Sheet_1",176696,732167
"BE10","pop_tot_20_64_Sheet_1",177576,742001
"BE10","pop_tot_20_64_Sheet_1",177308,739593
"BE10","pop_tot_20_64_Sheet_1",177038,743276
"BE10","pop_tot_20_64_Sheet_1",176922,750360
"BE10","pop_tot_20_64_Sheet_1",176634,757920
"BE10","pop_tot_20_64_Sheet_1",176630,762942
"BE10","pop_tot_20_64_Sheet_1",176406,765320
"BE10","pop_tot_20_64_Sheet_1",177074,785117
"BE10","pop_tot_20_64_Sheet_1",176052,796192
"BE21","pop_tot_20_64_Sheet_1",176696,1075820
"BE21","pop_tot_20_64_Sheet_1",177576,1079648
"BE21","pop_tot_20_64_Sheet_1",177308,1082242
"BE21","pop_tot_20_64_Sheet_1",177038,1084709
"BE21","pop_tot_20_64_Sheet_1",176922,1087785
"BE21","pop_tot_20_64_Sheet_1",176634,1090849
"BE21","pop_tot_20_64_Sheet_1",176630,1091644
"BE21","pop_tot_20_64_Sheet_1",176406,1093247
"BE21","pop_tot_20_64_Sheet_1",177074,1103860
"BE21","pop_tot_20_64_Sheet_1",176052,1110182
"BE22","pop_tot_20_64_Sheet_1",176696,523158
"BE22","pop_tot_20_64_Sheet_1",177576,523494
"BE22","pop_tot_20_64_Sheet_1",177308,521793
"BE22","pop_tot_20_64_Sheet_1",177038,520422
"BE22","pop_tot_20_64_Sheet_1",176922,518838
"BE22","pop_tot_20_64_Sheet_1",176634,518400
"BE22","pop_tot_20_64_Sheet_1",176630,517122
"BE22","pop_tot_20_64_Sheet_1",176406,517279
"BE22","pop_tot_20_64_Sheet_1",177074,519897
"BE22","pop_tot_20_64_Sheet_1",176052,519570
"BE23","pop_tot_20_64_Sheet_1",176696,877307
"BE23","pop_tot_20_64_Sheet_1",177576,881403
"BE23","pop_tot_20_64_Sheet_1",177308,884375
"BE23","pop_tot_20_64_Sheet_1",177038,886688
"BE23","pop_tot_20_64_Sheet_1",176922,890544
"BE23","pop_tot_20_64_Sheet_1",176634,894006
"BE23","pop_tot_20_64_Sheet_1",176630,897025
"BE23","pop_tot_20_64_Sheet_1",176406,900238
