"region_id","indicator","year","value"
"BE10","y_nw_ned_nt_pc_18_29_y",2015,"23.3"
"BE10","y_nw_ned_nt_pc_18_29_y",2016,"23.6"
"BE10","y_nw_ned_nt_pc_18_29_y",2017,"22.4"
"BE10","y_nw_ned_nt_pc_18_29_y",2018,"22.3"
"BE10","y_nw_ned_nt_pc_18_29_y",2019,"22.0"
"BE10","y_nw_ned_nt_pc_18_29_y",2020,"20.6"
"BE10","y_nw_ned_nt_pc_18_29_y",2021,"16.8"
"BE10","y_nw_ned_nt_pc_18_29_y",2022,"16.1"
"BE10","y_nw_ned_nt_pc_18_29_y",2023,"13.1"
"BE10","y_nw_ned_nt_pc_18_29_y",2024,"15.9"
"BE21","y_nw_ned_nt_pc_18_29_y",2015,"13.7"
"BE21","y_nw_ned_nt_pc_18_29_y",2016,"14.4"
"BE21","y_nw_ned_nt_pc_18_29_y",2017,"13.7"
"BE21","y_nw_ned_nt_pc_18_29_y",2018,"13.2"
"BE21","y_nw_ned_nt_pc_18_29_y",2019,"11.0"
"BE21","y_nw_ned_nt_pc_18_29_y",2020,"12.6"
"BE21","y_nw_ned_nt_pc_18_29_y",2021,"11.8"
"BE21","y_nw_ned_nt_pc_18_29_y",2022,"8.4"
"BE21","y_nw_ned_nt_pc_18_29_y",2023,"9.8"
"BE21","y_nw_ned_nt_pc_18_29_y",2024,"9.8"
"BE22","y_nw_ned_nt_pc_18_29_y",2015,"13.0"
"BE22","y_nw_ned_nt_pc_18_29_y",2016,"11.0"
"BE22","y_nw_ned_nt_pc_18_29_y",2017,"10.7"
"BE22","y_nw_ned_nt_pc_18_29_y",2018,"10.8"
"BE22","y_nw_ned_nt_pc_18_29_y",2019,"10.1"
"BE22","y_nw_ned_nt_pc_18_29_y",2020,"9.1"
"BE22","y_nw_ned_nt_pc_18_29_y",2021,"8.9"
"BE22","y_nw_ned_nt_pc_18_29_y",2022,"7.7"
"BE22","y_nw_ned_nt_pc_18_29_y",2023,"7.0"
"BE22","y_nw_ned_nt_pc_18_29_y",2024,"7.8"
"BE23","y_nw_ned_nt_pc_18_29_y",2015,"12.7"
"BE23","y_nw_ned_nt_pc_18_29_y",2016,"10.8"
"BE23","y_nw_ned_nt_pc_18_29_y",2017,"9.9"
"BE23","y_nw_ned_nt_pc_18_29_y",2018,"8.9"
"BE23","y_nw_ned_nt_pc_18_29_y",2019,"10.2"
"BE23","y_nw_ned_nt_pc_18_29_y",2020,"7.7"
"BE23","y_nw_ned_nt_pc_18_29_y",2021,"6.4"
"BE23","y_nw_ned_nt_pc_18_29_y",2022,"6.4"
"BE23","y_nw_ned_nt_pc_18_29_y",2023,"7.6"
"BE23","y_nw_ned_nt_pc_18_29_y",2024,"8.0"
"BE24","y_nw_ned_nt_pc_18_29_y",2015,"10.4"
"BE24","y_nw_ned_nt_pc_18_29_y",2016,"9.6"
"BE24","y_nw_ned_nt_pc_18_29_y",2017,"8.9"
"BE24","y_nw_ned_nt_pc_18_29_y",2018,"8.5"
"BE24","y_nw_ned_nt_pc_18_29_y",2019,"8.4"
"BE24","y_nw_ned_nt_pc_18_29_y",2020,"10.0"
"BE24","y_nw_ned_nt_pc_18_29_y",2021,"8.6"
"BE24","y_nw_ned_nt_pc_18_29_y",2022,"9.4"
"BE24","y_nw_ned_nt_pc_18_29_y",2023,"11.8"
"BE24","y_nw_ned_nt_pc_18_29_y",2024,"10.1"
"BE25","y_nw_ned_nt_pc_18_29_y",2015,"11.7"
"BE25","y_nw_ned_nt_pc_18_29_y",2016,"8.0"
"BE25","y_nw_ned_nt_pc_18_29_y",2017,"8.6"
"BE25","y_nw_ned_nt_pc_18_29_y",2018,"8.7"
"BE25","y_nw_ned_nt_pc_18_29_y",2019,"7.4"
"BE25","y_nw_ned_nt_pc_18_29_y",2020,"9.7"
"BE25","y_nw_ned_nt_pc_18_29_y",2021,"7.5"
"BE25","y_nw_ned_nt_pc_18_29_y",2022,"6.6"
"BE25","y_nw_ned_nt_pc_18_29_y",2023,"7.1"
"BE25","y_nw_ned_nt_pc_18_29_y",2024,"7.6"
"BE31","y_nw_ned_nt_pc_18_29_y",2015,"12.2"
"BE31","y_nw_ned_nt_pc_18_29_y",2016,"14.3"
"BE31","y_nw_ned_nt_pc_18_29_y",2017,"14.6"
"BE31","y_nw_ned_nt_pc_18_29_y",2018,"11.2"
"BE31","y_nw_ned_nt_pc_18_29_y",2019,"12.9"
"BE31","y_nw_ned_nt_pc_18_29_y",2020,"14.1"
"BE31","y_nw_ned_nt_pc_18_29_y",2021,"9.9"
"BE31","y_nw_ned_nt_pc_18_29_y",2022,"7.9"
"BE31","y_nw_ned_nt_pc_18_29_y",2023,"12.8"
"BE31","y_nw_ned_nt_pc_18_29_y",2024,"12.8"
"BE32","y_nw_ned_nt_pc_18_29_y",2015,"25.8"
"BE32","y_nw_ned_nt_pc_18_29_y",2016,"23.1"
"BE32","y_nw_ned_nt_pc_18_29_y",2017,"23.0"
"BE32","y_nw_ned_nt_pc_18_29_y",2018,"20.7"
"BE32","y_nw_ned_nt_pc_18_29_y",2019,"20.6"
"BE32","y_nw_ned_nt_pc_18_29_y",2020,"20.4"
"BE32","y_nw_ned_nt_pc_18_29_y",2021,"19.3"
"BE32","y_nw_ned_nt_pc_18_29_y",2022,"18.4"
"BE32","y_nw_ned_nt_pc_18_29_y",2023,"18.1"
"BE32","y_nw_ned_nt_pc_18_29_y",2024,"17.2"
"BE33","y_nw_ned_nt_pc_18_29_y",2015,"22.8"
"BE33","y_nw_ned_nt_pc_18_29_y",2016,"19.8"
"BE33","y_nw_ned_nt_pc_18_29_y",2017,"18.7"
"BE33","y_nw_ned_nt_pc_18_29_y",2018,"16.9"
"BE33","y_nw_ned_nt_pc_18_29_y",2019,"18.2"
"BE33","y_nw_ned_nt_pc_18_29_y",2020,"18.8"
"BE33","y_nw_ned_nt_pc_18_29_y",2021,"15.1"
"BE33","y_nw_ned_nt_pc_18_29_y",2022,"16.0"
"BE33","y_nw_ned_nt_pc_18_29_y",2023,"18.9"
"BE33","y_nw_ned_nt_pc_18_29_y",2024,"18.4"
"BE34","y_nw_ned_nt_pc_18_29_y",2015,"15.5"
"BE34","y_nw_ned_nt_pc_18_29_y",2016,"15.2"
"BE34","y_nw_ned_nt_pc_18_29_y",2017,"12.5"
"BE34","y_nw_ned_nt_pc_18_29_y",2018,"11.7"
"BE34","y_nw_ned_nt_pc_18_29_y",2019,"11.0"
"BE34","y_nw_ned_nt_pc_18_29_y",2020,"12.1"
"BE34","y_nw_ned_nt_pc_18_29_y",2021,"11.9"
"BE34","y_nw_ned_nt_pc_18_29_y",2022,"10.2"
"BE34","y_nw_ned_nt_pc_18_29_y",2023,"11.0"
"BE34","y_nw_ned_nt_pc_18_29_y",2024,"10.3"
"BE35","y_nw_ned_nt_pc_18_29_y",2015,"19.1"
"BE35","y_nw_ned_nt_pc_18_29_y",2016,"17.7"
"BE35","y_nw_ned_nt_pc_18_29_y",2017,"17.0"
"BE35","y_nw_ned_nt_pc_18_29_y",2018,"15.6"
"BE35","y_nw_ned_nt_pc_18_29_y",2019,"16.5"
"BE35","y_nw_ned_nt_pc_18_29_y",2020,"16.8"
"BE35","y_nw_ned_nt_pc_18_29_y",2021,"13.6"
"BE35","y_nw_ned_nt_pc_18_29_y",2022,"14.6"
"BE35","y_nw_ned_nt_pc_18_29_y",2023,"12.4"
"BE35","y_nw_ned_nt_pc_18_29_y",2024,"15.3"
"BG31","y_nw_ned_nt_pc_18_29_y",2015,"45.3"
"BG31","y_nw_ned_nt_pc_18_29_y",2016,"46.2"
"BG31","y_nw_ned_nt_pc_18_29_y",2017,"36.4"
"BG31","y_nw_ned_nt_pc_18_29_y",2018,"35.0"
"BG31","y_nw_ned_nt_pc_18_29_y",2019,"36.3"
"BG31","y_nw_ned_nt_pc_18_29_y",2020,"39.9"
"BG31","y_nw_ned_nt_pc_18_29_y",2021,"35.9"
"BG31","y_nw_ned_nt_pc_18_29_y",2022,"28.6"
"BG31","y_nw_ned_nt_pc_18_29_y",2023,"30.3"
"BG31","y_nw_ned_nt_pc_18_29_y",2024,"30.3"
"BG32","y_nw_ned_nt_pc_18_29_y",2015,"30.4"
"BG32","y_nw_ned_nt_pc_18_29_y",2016,"25.9"
"BG32","y_nw_ned_nt_pc_18_29_y",2017,"23.8"
"BG32","y_nw_ned_nt_pc_18_29_y",2018,"23.8"
"BG32","y_nw_ned_nt_pc_18_29_y",2019,"19.6"
"BG32","y_nw_ned_nt_pc_18_29_y",2020,"22.0"
"BG32","y_nw_ned_nt_pc_18_29_y",2021,"23.0"
"BG32","y_nw_ned_nt_pc_18_29_y",2022,"20.1"
"BG32","y_nw_ned_nt_pc_18_29_y",2023,"22.2"
"BG32","y_nw_ned_nt_pc_18_29_y",2024,"21.3"
"BG33","y_nw_ned_nt_pc_18_29_y",2015,"24.5"
"BG33","y_nw_ned_nt_pc_18_29_y",2016,"23.6"
"BG33","y_nw_ned_nt_pc_18_29_y",2017,"21.9"
"BG33","y_nw_ned_nt_pc_18_29_y",2018,"23.9"
"BG33","y_nw_ned_nt_pc_18_29_y",2019,"22.5"
"BG33","y_nw_ned_nt_pc_18_29_y",2020,"20.0"
"BG33","y_nw_ned_nt_pc_18_29_y",2021,"21.3"
"BG33","y_nw_ned_nt_pc_18_29_y",2022,"15.7"
"BG33","y_nw_ned_nt_pc_18_29_y",2023,"17.6"
"BG33","y_nw_ned_nt_pc_18_29_y",2024,"17.6"
"BG34","y_nw_ned_nt_pc_18_29_y",2015,"31.7"
"BG34","y_nw_ned_nt_pc_18_29_y",2016,"30.9"
"BG34","y_nw_ned_nt_pc_18_29_y",2017,"27.4"
"BG34","y_nw_ned_nt_pc_18_29_y",2018,"27.5"
"BG34","y_nw_ned_nt_pc_18_29_y",2019,"27.1"
"BG34","y_nw_ned_nt_pc_18_29_y",2020,"29.1"
"BG34","y_nw_ned_nt_pc_18_29_y",2021,"28.4"
"BG34","y_nw_ned_nt_pc_18_29_y",2022,"25.0"
"BG34","y_nw_ned_nt_pc_18_29_y",2023,"22.4"
"BG34","y_nw_ned_nt_pc_18_29_y",2024,"23.9"
"BG41","y_nw_ned_nt_pc_18_29_y",2015,"14.1"
"BG41","y_nw_ned_nt_pc_18_29_y",2016,"16.0"
"BG41","y_nw_ned_nt_pc_18_29_y",2017,"11.7"
"BG41","y_nw_ned_nt_pc_18_29_y",2018,"8.8"
"BG41","y_nw_ned_nt_pc_18_29_y",2019,"7.7"
"BG41","y_nw_ned_nt_pc_18_29_y",2020,"10.1"
"BG41","y_nw_ned_nt_pc_18_29_y",2021,"10.6"
"BG41","y_nw_ned_nt_pc_18_29_y",2022,"10.8"
"BG41","y_nw_ned_nt_pc_18_29_y",2023,"8.6"
"BG41","y_nw_ned_nt_pc_18_29_y",2024,"7.2"
"BG42","y_nw_ned_nt_pc_18_29_y",2015,"26.9"
"BG42","y_nw_ned_nt_pc_18_29_y",2016,"28.7"
"BG42","y_nw_ned_nt_pc_18_29_y",2017,"25.1"
"BG42","y_nw_ned_nt_pc_18_29_y",2018,"26.7"
"BG42","y_nw_ned_nt_pc_18_29_y",2019,"22.3"
"BG42","y_nw_ned_nt_pc_18_29_y",2020,"26.8"
"BG42","y_nw_ned_nt_pc_18_29_y",2021,"23.7"
"BG42","y_nw_ned_nt_pc_18_29_y",2022,"18.9"
"BG42","y_nw_ned_nt_pc_18_29_y",2023,"17.2"
"BG42","y_nw_ned_nt_pc_18_29_y",2024,"17.5"
"CZ01","y_nw_ned_nt_pc_18_29_y",2015,"9.7"
"CZ01","y_nw_ned_nt_pc_18_29_y",2016,"6.6"
"CZ01","y_nw_ned_nt_pc_18_29_y",2017,"6.8"
"CZ01","y_nw_ned_nt_pc_18_29_y",2018,"7.5"
"CZ01","y_nw_ned_nt_pc_18_29_y",2019,"6.4"
"CZ01","y_nw_ned_nt_pc_18_29_y",2020,"7.2"
"CZ01","y_nw_ned_nt_pc_18_29_y",2021,"8.0"
"CZ01","y_nw_ned_nt_pc_18_29_y",2022,"7.6"
"CZ01","y_nw_ned_nt_pc_18_29_y",2023,"6.9"
"CZ01","y_nw_ned_nt_pc_18_29_y",2024,"6.0"
"CZ02","y_nw_ned_nt_pc_18_29_y",2015,"12.6"
"CZ02","y_nw_ned_nt_pc_18_29_y",2016,"12.2"
"CZ02","y_nw_ned_nt_pc_18_29_y",2017,"10.4"
"CZ02","y_nw_ned_nt_pc_18_29_y",2018,"9.9"
"CZ02","y_nw_ned_nt_pc_18_29_y",2019,"9.9"
"CZ02","y_nw_ned_nt_pc_18_29_y",2020,"13.5"
"CZ02","y_nw_ned_nt_pc_18_29_y",2021,"12.4"
"CZ02","y_nw_ned_nt_pc_18_29_y",2022,"10.8"
"CZ02","y_nw_ned_nt_pc_18_29_y",2023,"11.7"
"CZ02","y_nw_ned_nt_pc_18_29_y",2024,"10.4"
"CZ03","y_nw_ned_nt_pc_18_29_y",2015,"11.7"
"CZ03","y_nw_ned_nt_pc_18_29_y",2016,"12.7"
"CZ03","y_nw_ned_nt_pc_18_29_y",2017,"10.9"
"CZ03","y_nw_ned_nt_pc_18_29_y",2018,"10.6"
"CZ03","y_nw_ned_nt_pc_18_29_y",2019,"10.8"
"CZ03","y_nw_ned_nt_pc_18_29_y",2020,"13.0"
"CZ03","y_nw_ned_nt_pc_18_29_y",2021,"12.1"
