"region_id","indicator","year","value"
"BE10","act_wee_wo_ho_total_20_64_y",2015,"37.1"
"BE10","act_wee_wo_ho_total_20_64_y",2016,"37.1"
"BE10","act_wee_wo_ho_total_20_64_y",2017,"36.4"
"BE10","act_wee_wo_ho_total_20_64_y",2018,"36.3"
"BE10","act_wee_wo_ho_total_20_64_y",2019,"36.0"
"BE10","act_wee_wo_ho_total_20_64_y",2020,"35.6"
"BE10","act_wee_wo_ho_total_20_64_y",2021,"35.1"
"BE10","act_wee_wo_ho_total_20_64_y",2022,"35.1"
"BE10","act_wee_wo_ho_total_20_64_y",2023,"34.6"
"BE10","act_wee_wo_ho_total_20_64_y",2024,"34.8"
"BE21","act_wee_wo_ho_total_20_64_y",2015,"36.8"
"BE21","act_wee_wo_ho_total_20_64_y",2016,"36.7"
"BE21","act_wee_wo_ho_total_20_64_y",2017,"36.4"
"BE21","act_wee_wo_ho_total_20_64_y",2018,"36.2"
"BE21","act_wee_wo_ho_total_20_64_y",2019,"36.2"
"BE21","act_wee_wo_ho_total_20_64_y",2020,"35.4"
"BE21","act_wee_wo_ho_total_20_64_y",2021,"35.0"
"BE21","act_wee_wo_ho_total_20_64_y",2022,"34.6"
"BE21","act_wee_wo_ho_total_20_64_y",2023,"34.6"
"BE21","act_wee_wo_ho_total_20_64_y",2024,"34.5"
"BE22","act_wee_wo_ho_total_20_64_y",2015,"36.2"
"BE22","act_wee_wo_ho_total_20_64_y",2016,"36.4"
"BE22","act_wee_wo_ho_total_20_64_y",2017,"35.8"
"BE22","act_wee_wo_ho_total_20_64_y",2018,"35.7"
"BE22","act_wee_wo_ho_total_20_64_y",2019,"35.7"
"BE22","act_wee_wo_ho_total_20_64_y",2020,"35.1"
"BE22","act_wee_wo_ho_total_20_64_y",2021,"33.6"
"BE22","act_wee_wo_ho_total_20_64_y",2022,"33.3"
"BE22","act_wee_wo_ho_total_20_64_y",2023,"33.2"
"BE22","act_wee_wo_ho_total_20_64_y",2024,"33.1"
"BE23","act_wee_wo_ho_total_20_64_y",2015,"37.2"
"BE23","act_wee_wo_ho_total_20_64_y",2016,"37.1"
"BE23","act_wee_wo_ho_total_20_64_y",2017,"36.6"
"BE23","act_wee_wo_ho_total_20_64_y",2018,"36.7"
"BE23","act_wee_wo_ho_total_20_64_y",2019,"36.5"
"BE23","act_wee_wo_ho_total_20_64_y",2020,"35.9"
"BE23","act_wee_wo_ho_total_20_64_y",2021,"35.6"
"BE23","act_wee_wo_ho_total_20_64_y",2022,"35.1"
"BE23","act_wee_wo_ho_total_20_64_y",2023,"35.3"
"BE23","act_wee_wo_ho_total_20_64_y",2024,"34.6"
"BE24","act_wee_wo_ho_total_20_64_y",2015,"38.0"
"BE24","act_wee_wo_ho_total_20_64_y",2016,"37.9"
"BE24","act_wee_wo_ho_total_20_64_y",2017,"37.4"
"BE24","act_wee_wo_ho_total_20_64_y",2018,"37.1"
"BE24","act_wee_wo_ho_total_20_64_y",2019,"37.3"
"BE24","act_wee_wo_ho_total_20_64_y",2020,"36.4"
"BE24","act_wee_wo_ho_total_20_64_y",2021,"35.8"
"BE24","act_wee_wo_ho_total_20_64_y",2022,"35.9"
"BE24","act_wee_wo_ho_total_20_64_y",2023,"35.7"
"BE24","act_wee_wo_ho_total_20_64_y",2024,"34.8"
"BE25","act_wee_wo_ho_total_20_64_y",2015,"37.9"
"BE25","act_wee_wo_ho_total_20_64_y",2016,"37.8"
"BE25","act_wee_wo_ho_total_20_64_y",2017,"37.7"
"BE25","act_wee_wo_ho_total_20_64_y",2018,"37.7"
"BE25","act_wee_wo_ho_total_20_64_y",2019,"37.6"
