"region_id","indicator","year","value"
"BE10","emp_tech_knowledge_intesive_hi_tech",2020,"25.9"
"BE10","emp_tech_knowledge_intesive_hi_tech",2021,"30.8"
"BE10","emp_tech_knowledge_intesive_hi_tech",2022,"29.9"
"BE10","emp_tech_knowledge_intesive_hi_tech",2023,"32.4"
"BE10","emp_tech_knowledge_intesive_hi_tech",2024,"32.2"
"BE21","emp_tech_knowledge_intesive_hi_tech",2020,"31.5"
"BE21","emp_tech_knowledge_intesive_hi_tech",2021,"35.0"
"BE21","emp_tech_knowledge_intesive_hi_tech",2022,"35.9"
"BE21","emp_tech_knowledge_intesive_hi_tech",2023,"36.2"
"BE21","emp_tech_knowledge_intesive_hi_tech",2024,"39.6"
"BE22","emp_tech_knowledge_intesive_hi_tech",2020,"14.0"
"BE22","emp_tech_knowledge_intesive_hi_tech",2021,"14.4"
"BE22","emp_tech_knowledge_intesive_hi_tech",2022,"13.9"
"BE22","emp_tech_knowledge_intesive_hi_tech",2023,"13.2"
"BE22","emp_tech_knowledge_intesive_hi_tech",2024,"13.3"
"BE23","emp_tech_knowledge_intesive_hi_tech",2020,"28.4"
"BE23","emp_tech_knowledge_intesive_hi_tech",2021,"36.3"
"BE23","emp_tech_knowledge_intesive_hi_tech",2022,"34.2"
"BE23","emp_tech_knowledge_intesive_hi_tech",2023,"33.2"
"BE23","emp_tech_knowledge_intesive_hi_tech",2024,"38.9"
"BE24","emp_tech_knowledge_intesive_hi_tech",2020,"30.6"
"BE24","emp_tech_knowledge_intesive_hi_tech",2021,"34.7"
"BE24","emp_tech_knowledge_intesive_hi_tech",2022,"37.8"
"BE24","emp_tech_knowledge_intesive_hi_tech",2023,"33.8"
"BE24","emp_tech_knowledge_intesive_hi_tech",2024,"32.1"
"BE25","emp_tech_knowledge_intesive_hi_tech",2020,"10.1"
"BE25","emp_tech_knowledge_intesive_hi_tech",2021,"13.6"
"BE25","emp_tech_knowledge_intesive_hi_tech",2022,"12.3"
"BE25","emp_tech_knowledge_intesive_hi_tech",2023,"11.7"
"BE25","emp_tech_knowledge_intesive_hi_tech",2024,"14.4"
"BE31","emp_tech_knowledge_intesive_hi_tech",2020,"8.9"
"BE31","emp_tech_knowledge_intesive_hi_tech",2021,"11.3"
"BE31","emp_tech_knowledge_intesive_hi_tech",2022,"13.5"
"BE31","emp_tech_knowledge_intesive_hi_tech",2023,"10.6"
"BE31","emp_tech_knowledge_intesive_hi_tech",2024,"8.3"
"BE32","emp_tech_knowledge_intesive_hi_tech",2020,"10.3"
"BE32","emp_tech_knowledge_intesive_hi_tech",2021,"14.9"
"BE32","emp_tech_knowledge_intesive_hi_tech",2022,"16.7"
"BE32","emp_tech_knowledge_intesive_hi_tech",2023,"15.8"
"BE32","emp_tech_knowledge_intesive_hi_tech",2024,"16.0"
"BE33","emp_tech_knowledge_intesive_hi_tech",2020,"10.6"
"BE33","emp_tech_knowledge_intesive_hi_tech",2021,"15.1"
"BE33","emp_tech_knowledge_intesive_hi_tech",2022,"16.4"
"BE33","emp_tech_knowledge_intesive_hi_tech",2023,"13.8"
"BE33","emp_tech_knowledge_intesive_hi_tech",2024,"12.8"
"BE34","emp_tech_knowledge_intesive_hi_tech",2020,"3.5"
"BE34","emp_tech_knowledge_intesive_hi_tech",2021,"5.0"
"BE34","emp_tech_knowledge_intesive_hi_tech",2022,"5.3"
"BE34","emp_tech_knowledge_intesive_hi_tech",2023,"4.1"
"BE34","emp_tech_knowledge_intesive_hi_tech",2024,"4.4"
"BE35","emp_tech_knowledge_intesive_hi_tech",2020,"7.3"
"BE35","emp_tech_knowledge_intesive_hi_tech",2021,"7.8"
"BE35","emp_tech_knowledge_intesive_hi_tech",2022,"9.4"
"BE35","emp_tech_knowledge_intesive_hi_tech",2023,"9.8"
"BE35","emp_tech_knowledge_intesive_hi_tech",2024,"8.8"
"BG32","emp_tech_knowledge_intesive_hi_tech",2020,"3.8"
"BG32","emp_tech_knowledge_intesive_hi_tech",2021,"4.0"
"BG32","emp_tech_knowledge_intesive_hi_tech",2022,"4.1"
"BG32","emp_tech_knowledge_intesive_hi_tech",2023,"5.6"
"BG32","emp_tech_knowledge_intesive_hi_tech",2024,"5.3"
"BG33","emp_tech_knowledge_intesive_hi_tech",2020,"5.0"
"BG33","emp_tech_knowledge_intesive_hi_tech",2021,"5.2"
"BG33","emp_tech_knowledge_intesive_hi_tech",2022,"7.4"
"BG33","emp_tech_knowledge_intesive_hi_tech",2023,"7.8"
"BG33","emp_tech_knowledge_intesive_hi_tech",2024,"9.3"
"BG34","emp_tech_knowledge_intesive_hi_tech",2020,"4.1"
"BG34","emp_tech_knowledge_intesive_hi_tech",2021,"3.7"
"BG34","emp_tech_knowledge_intesive_hi_tech",2022,"4.8"
"BG34","emp_tech_knowledge_intesive_hi_tech",2023,"4.4"
"BG34","emp_tech_knowledge_intesive_hi_tech",2024,"5.3"
"BG41","emp_tech_knowledge_intesive_hi_tech",2020,"67.4"
"BG41","emp_tech_knowledge_intesive_hi_tech",2021,"70.9"
"BG41","emp_tech_knowledge_intesive_hi_tech",2022,"82.5"
"BG41","emp_tech_knowledge_intesive_hi_tech",2023,"88.3"
"BG41","emp_tech_knowledge_intesive_hi_tech",2024,"89.2"
"BG42","emp_tech_knowledge_intesive_hi_tech",2020,"7.9"
"BG42","emp_tech_knowledge_intesive_hi_tech",2021,"9.8"
"BG42","emp_tech_knowledge_intesive_hi_tech",2022,"9.3"
"BG42","emp_tech_knowledge_intesive_hi_tech",2023,"14.1"
"BG42","emp_tech_knowledge_intesive_hi_tech",2024,"14.4"
"CZ01","emp_tech_knowledge_intesive_hi_tech",2020,"64.6"
"CZ01","emp_tech_knowledge_intesive_hi_tech",2021,"80.8"
"CZ01","emp_tech_knowledge_intesive_hi_tech",2022,"67.3"
"CZ01","emp_tech_knowledge_intesive_hi_tech",2023,"74.6"
"CZ01","emp_tech_knowledge_intesive_hi_tech",2024,"76.4"
"CZ02","emp_tech_knowledge_intesive_hi_tech",2020,"25.2"
"CZ02","emp_tech_knowledge_intesive_hi_tech",2021,"29.0"
"CZ02","emp_tech_knowledge_intesive_hi_tech",2022,"31.5"
"CZ02","emp_tech_knowledge_intesive_hi_tech",2023,"26.3"
"CZ02","emp_tech_knowledge_intesive_hi_tech",2024,"25.7"
"CZ03","emp_tech_knowledge_intesive_hi_tech",2020,"11.9"
"CZ03","emp_tech_knowledge_intesive_hi_tech",2021,"12.7"
"CZ03","emp_tech_knowledge_intesive_hi_tech",2022,"13.4"
"CZ03","emp_tech_knowledge_intesive_hi_tech",2023,"13.9"
"CZ03","emp_tech_knowledge_intesive_hi_tech",2024,"16.7"
"CZ04","emp_tech_knowledge_intesive_hi_tech",2020,"7.1"
"CZ04","emp_tech_knowledge_intesive_hi_tech",2021,"11.0"
"CZ04","emp_tech_knowledge_intesive_hi_tech",2022,"8.8"
"CZ04","emp_tech_knowledge_intesive_hi_tech",2023,"8.1"
"CZ04","emp_tech_knowledge_intesive_hi_tech",2024,"6.1"
"CZ05","emp_tech_knowledge_intesive_hi_tech",2020,"16.5"
"CZ05","emp_tech_knowledge_intesive_hi_tech",2021,"17.1"
"CZ05","emp_tech_knowledge_intesive_hi_tech",2022,"15.1"
"CZ05","emp_tech_knowledge_intesive_hi_tech",2023,"15.8"
"CZ05","emp_tech_knowledge_intesive_hi_tech",2024,"17.3"
"CZ06","emp_tech_knowledge_intesive_hi_tech",2020,"32.4"
"CZ06","emp_tech_knowledge_intesive_hi_tech",2021,"35.1"
"CZ06","emp_tech_knowledge_intesive_hi_tech",2022,"32.4"
