"region_id","indicator","year","value"
"BE10","emp_tech_transport",2020,"22.8"
"BE10","emp_tech_transport",2021,"21.4"
"BE10","emp_tech_transport",2022,"22.0"
"BE10","emp_tech_transport",2023,"22.2"
"BE10","emp_tech_transport",2024,"26.4"
"BE21","emp_tech_transport",2020,"57.2"
"BE21","emp_tech_transport",2021,"62.2"
"BE21","emp_tech_transport",2022,"58.7"
"BE21","emp_tech_transport",2023,"53.7"
"BE21","emp_tech_transport",2024,"56.0"
"BE22","emp_tech_transport",2020,"15.9"
"BE22","emp_tech_transport",2021,"16.4"
"BE22","emp_tech_transport",2022,"18.5"
"BE22","emp_tech_transport",2023,"20.1"
"BE22","emp_tech_transport",2024,"20.7"
"BE23","emp_tech_transport",2020,"33.0"
"BE23","emp_tech_transport",2021,"33.2"
"BE23","emp_tech_transport",2022,"31.3"
"BE23","emp_tech_transport",2023,"28.8"
"BE23","emp_tech_transport",2024,"32.5"
"BE24","emp_tech_transport",2020,"25.3"
"BE24","emp_tech_transport",2021,"28.0"
"BE24","emp_tech_transport",2022,"27.6"
"BE24","emp_tech_transport",2023,"27.6"
"BE24","emp_tech_transport",2024,"28.3"
"BE25","emp_tech_transport",2020,"22.5"
"BE25","emp_tech_transport",2021,"23.3"
"BE25","emp_tech_transport",2022,"26.6"
"BE25","emp_tech_transport",2023,"23.8"
"BE25","emp_tech_transport",2024,"22.0"
"BE31","emp_tech_transport",2020,"5.4"
"BE31","emp_tech_transport",2021,"4.8"
"BE31","emp_tech_transport",2022,"4.9"
"BE31","emp_tech_transport",2023,"6.1"
"BE31","emp_tech_transport",2024,"6.2"
"BE32","emp_tech_transport",2020,"21.6"
"BE32","emp_tech_transport",2021,"20.9"
"BE32","emp_tech_transport",2022,"22.3"
"BE32","emp_tech_transport",2023,"28.7"
"BE32","emp_tech_transport",2024,"28.9"
"BE33","emp_tech_transport",2020,"17.5"
"BE33","emp_tech_transport",2021,"18.8"
"BE33","emp_tech_transport",2022,"17.5"
"BE33","emp_tech_transport",2023,"16.5"
"BE33","emp_tech_transport",2024,"16.9"
"BE34","emp_tech_transport",2020,"4.0"
"BE34","emp_tech_transport",2021,"4.4"
"BE34","emp_tech_transport",2022,"4.4"
"BE34","emp_tech_transport",2023,"3.5"
"BE34","emp_tech_transport",2024,"3.6"
"BE35","emp_tech_transport",2020,"9.5"
"BE35","emp_tech_transport",2021,"7.9"
"BE35","emp_tech_transport",2022,"7.6"
"BE35","emp_tech_transport",2023,"8.1"
"BE35","emp_tech_transport",2024,"8.1"
"BG31","emp_tech_transport",2020,"13.9"
"BG31","emp_tech_transport",2021,"13.5"
"BG31","emp_tech_transport",2022,"13.6"
"BG31","emp_tech_transport",2023,"15.8"
"BG31","emp_tech_transport",2024,"14.1"
"BG32","emp_tech_transport",2020,"19.2"
"BG32","emp_tech_transport",2021,"17.0"
"BG32","emp_tech_transport",2022,"15.6"
"BG32","emp_tech_transport",2023,"15.4"
"BG32","emp_tech_transport",2024,"16.7"
"BG33","emp_tech_transport",2020,"29.4"
"BG33","emp_tech_transport",2021,"32.9"
"BG33","emp_tech_transport",2022,"35.5"
"BG33","emp_tech_transport",2023,"34.1"
"BG33","emp_tech_transport",2024,"29.6"
"BG34","emp_tech_transport",2020,"21.6"
"BG34","emp_tech_transport",2021,"22.3"
"BG34","emp_tech_transport",2022,"23.2"
"BG34","emp_tech_transport",2023,"23.2"
"BG34","emp_tech_transport",2024,"26.9"
"BG41","emp_tech_transport",2020,"61.0"
"BG41","emp_tech_transport",2021,"64.0"
"BG41","emp_tech_transport",2022,"67.2"
"BG41","emp_tech_transport",2023,"62.6"
"BG41","emp_tech_transport",2024,"60.1"
"BG42","emp_tech_transport",2020,"30.9"
"BG42","emp_tech_transport",2021,"29.1"
"BG42","emp_tech_transport",2022,"28.8"
"BG42","emp_tech_transport",2023,"29.8"
"BG42","emp_tech_transport",2024,"30.2"
"CZ01","emp_tech_transport",2020,"47.1"
"CZ01","emp_tech_transport",2021,"35.3"
"CZ01","emp_tech_transport",2022,"33.4"
"CZ01","emp_tech_transport",2023,"34.0"
"CZ01","emp_tech_transport",2024,"36.4"
"CZ02","emp_tech_transport",2020,"50.0"
"CZ02","emp_tech_transport",2021,"51.4"
"CZ02","emp_tech_transport",2022,"53.4"
"CZ02","emp_tech_transport",2023,"51.1"
"CZ02","emp_tech_transport",2024,"51.1"
"CZ03","emp_tech_transport",2020,"30.4"
"CZ03","emp_tech_transport",2021,"29.7"
"CZ03","emp_tech_transport",2022,"30.8"
"CZ03","emp_tech_transport",2023,"29.6"
"CZ03","emp_tech_transport",2024,"32.4"
"CZ04","emp_tech_transport",2020,"30.8"
"CZ04","emp_tech_transport",2021,"30.5"
"CZ04","emp_tech_transport",2022,"36.7"
"CZ04","emp_tech_transport",2023,"34.9"
"CZ04","emp_tech_transport",2024,"34.2"
"CZ05","emp_tech_transport",2020,"33.3"
"CZ05","emp_tech_transport",2021,"28.3"
"CZ05","emp_tech_transport",2022,"29.8"
"CZ05","emp_tech_transport",2023,"34.1"
"CZ05","emp_tech_transport",2024,"31.0"
"CZ06","emp_tech_transport",2020,"40.4"
"CZ06","emp_tech_transport",2021,"40.6"
"CZ06","emp_tech_transport",2022,"39.3"
"CZ06","emp_tech_transport",2023,"41.4"
"CZ06","emp_tech_transport",2024,"40.4"
"CZ07","emp_tech_transport",2020,"24.8"
"CZ07","emp_tech_transport",2021,"26.9"
"CZ07","emp_tech_transport",2022,"26.5"
"CZ07","emp_tech_transport",2023,"25.3"
"CZ07","emp_tech_transport",2024,"27.2"
"CZ08","emp_tech_transport",2020,"31.1"
"CZ08","emp_tech_transport",2021,"28.8"
"CZ08","emp_tech_transport",2022,"31.7"
"CZ08","emp_tech_transport",2023,"27.4"
"CZ08","emp_tech_transport",2024,"29.0"
"DK01","emp_tech_transport",2020,"37.3"
"DK01","emp_tech_transport",2021,"33.0"
"DK01","emp_tech_transport",2022,"35.8"
"DK01","emp_tech_transport",2023,"40.9"
"DK01","emp_tech_transport",2024,"37.9"
"DK02","emp_tech_transport",2020,"18.4"
"DK02","emp_tech_transport",2021,"17.2"
"DK02","emp_tech_transport",2022,"16.3"
"DK02","emp_tech_transport",2023,"20.7"
"DK02","emp_tech_transport",2024,"20.2"
"DK03","emp_tech_transport",2020,"26.9"
"DK03","emp_tech_transport",2021,"24.9"
"DK03","emp_tech_transport",2022,"25.7"
"DK03","emp_tech_transport",2023,"28.6"
"DK03","emp_tech_transport",2024,"26.0"
"DK04","emp_tech_transport",2020,"22.1"
"DK04","emp_tech_transport",2021,"22.0"
"DK04","emp_tech_transport",2022,"22.4"
"DK04","emp_tech_transport",2023,"22.1"
"DK04","emp_tech_transport",2024,"25.3"
"DK05","emp_tech_transport",2020,"8.4"
"DK05","emp_tech_transport",2021,"8.5"
"DK05","emp_tech_transport",2022,"9.0"
"DK05","emp_tech_transport",2023,"10.1"
"DK05","emp_tech_transport",2024,"11.0"
"DE11","emp_tech_transport",2020,"56.3"
"DE11","emp_tech_transport",2021,"63.7"
"DE11","emp_tech_transport",2022,"81.2"
"DE11","emp_tech_transport",2023,"91.5"
"DE11","emp_tech_transport",2024,"83.3"
"DE12","emp_tech_transport",2020,"49.5"
"DE12","emp_tech_transport",2021,"48.7"
"DE12","emp_tech_transport",2022,"53.3"
"DE12","emp_tech_transport",2023,"61.4"
"DE12","emp_tech_transport",2024,"54.3"
"DE13","emp_tech_transport",2020,"30.1"
"DE13","emp_tech_transport",2021,"31.2"
"DE13","emp_tech_transport",2022,"31.4"
"DE13","emp_tech_transport",2023,"39.1"
"DE13","emp_tech_transport",2024,"39.6"
"DE14","emp_tech_transport",2020,"28.6"
"DE14","emp_tech_transport",2021,"27.7"
"DE14","emp_tech_transport",2022,"33.1"
"DE14","emp_tech_transport",2023,"30.7"
"DE14","emp_tech_transport",2024,"21.1"
"DE21","emp_tech_transport",2020,"68.1"
"DE21","emp_tech_transport",2021,"70.0"
"DE21","emp_tech_transport",2022,"82.3"
"DE21","emp_tech_transport",2023,"94.8"
"DE21","emp_tech_transport",2024,"101.9"
"DE23","emp_tech_transport",2020,"29.1"
"DE23","emp_tech_transport",2021,"16.7"
"DE23","emp_tech_transport",2022,"15.1"
"DE23","emp_tech_transport",2023,"13.9"
"DE23","emp_tech_transport",2024,"14.9"
"DE25","emp_tech_transport",2020,"29.7"
"DE25","emp_tech_transport",2021,"28.7"
"DE25","emp_tech_transport",2022,"37.8"
"DE25","emp_tech_transport",2023,"41.1"
"DE25","emp_tech_transport",2024,"43.0"
"DE27","emp_tech_transport",2020,"35.5"
"DE27","emp_tech_transport",2021,"33.0"
