"region_id","indicator","year","value"
"BE10","gva_pch_pre",2014,"0.6"
"BE10","gva_pch_pre",2015,"1.1"
"BE10","gva_pch_pre",2016,"-0.8"
"BE10","gva_pch_pre",2017,"1.1"
"BE10","gva_pch_pre",2018,"1.1"
"BE10","gva_pch_pre",2019,"2.6"
"BE10","gva_pch_pre",2020,"-3.8"
"BE10","gva_pch_pre",2021,"4.1"
"BE10","gva_pch_pre",2022,"1.7"
"BE10","gva_pch_pre",2023,"0.5"
"BE21","gva_pch_pre",2014,"2.1"
"BE21","gva_pch_pre",2015,"3.4"
"BE21","gva_pch_pre",2016,"1.3"
"BE21","gva_pch_pre",2017,"1.2"
"BE21","gva_pch_pre",2018,"1.7"
"BE21","gva_pch_pre",2019,"2.5"
"BE21","gva_pch_pre",2020,"-3.2"
"BE21","gva_pch_pre",2021,"5.2"
"BE21","gva_pch_pre",2022,"6.1"
"BE21","gva_pch_pre",2023,"0.8"
"BE22","gva_pch_pre",2014,"3.3"
"BE22","gva_pch_pre",2015,"0.6"
"BE22","gva_pch_pre",2016,"1.4"
"BE22","gva_pch_pre",2017,"2.1"
"BE22","gva_pch_pre",2018,"1.7"
"BE22","gva_pch_pre",2019,"1.1"
"BE22","gva_pch_pre",2020,"-4.6"
"BE22","gva_pch_pre",2021,"6.2"
"BE22","gva_pch_pre",2022,"4.0"
"BE22","gva_pch_pre",2023,"0.7"
"BE23","gva_pch_pre",2014,"2.1"
"BE23","gva_pch_pre",2015,"4.1"
"BE23","gva_pch_pre",2016,"1.4"
"BE23","gva_pch_pre",2017,"2.4"
"BE23","gva_pch_pre",2018,"0.8"
"BE23","gva_pch_pre",2019,"1.9"
"BE23","gva_pch_pre",2020,"-3.2"
"BE23","gva_pch_pre",2021,"8.2"
"BE23","gva_pch_pre",2022,"4.8"
"BE23","gva_pch_pre",2023,"0.3"
"BE24","gva_pch_pre",2014,"1.4"
"BE24","gva_pch_pre",2015,"3.0"
"BE24","gva_pch_pre",2016,"1.8"
"BE24","gva_pch_pre",2017,"1.5"
"BE24","gva_pch_pre",2018,"2.2"
"BE24","gva_pch_pre",2019,"2.3"
"BE24","gva_pch_pre",2020,"-5.8"
"BE24","gva_pch_pre",2021,"11.0"
"BE24","gva_pch_pre",2022,"8.4"
"BE24","gva_pch_pre",2023,"2.9"
"BE25","gva_pch_pre",2014,"2.5"
"BE25","gva_pch_pre",2015,"1.9"
"BE25","gva_pch_pre",2016,"1.4"
"BE25","gva_pch_pre",2017,"1.6"
"BE25","gva_pch_pre",2018,"1.3"
"BE25","gva_pch_pre",2019,"2.1"
"BE25","gva_pch_pre",2020,"-4.2"
"BE25","gva_pch_pre",2021,"6.5"
"BE25","gva_pch_pre",2022,"3.3"
"BE25","gva_pch_pre",2023,"1.9"
"BE31","gva_pch_pre",2014,"4.8"
"BE31","gva_pch_pre",2015,"1.6"
"BE31","gva_pch_pre",2016,"4.1"
"BE31","gva_pch_pre",2017,"3.2"
"BE31","gva_pch_pre",2018,"8.5"
"BE31","gva_pch_pre",2019,"9.6"
"BE31","gva_pch_pre",2020,"-3.8"
"BE31","gva_pch_pre",2021,"-6.1"
"BE31","gva_pch_pre",2022,"8.0"
"BE31","gva_pch_pre",2023,"3.7"
"BE32","gva_pch_pre",2014,"1.3"
"BE32","gva_pch_pre",2015,"1.4"
"BE32","gva_pch_pre",2016,"0.4"
"BE32","gva_pch_pre",2017,"1.0"
"BE32","gva_pch_pre",2018,"2.3"
"BE32","gva_pch_pre",2019,"0.2"
"BE32","gva_pch_pre",2020,"-4.5"
"BE32","gva_pch_pre",2021,"5.0"
"BE32","gva_pch_pre",2022,"2.8"
"BE32","gva_pch_pre",2023,"0.0"
"BE33","gva_pch_pre",2014,"0.0"
"BE33","gva_pch_pre",2015,"1.3"
"BE33","gva_pch_pre",2016,"0.5"
"BE33","gva_pch_pre",2017,"1.8"
"BE33","gva_pch_pre",2018,"1.4"
"BE33","gva_pch_pre",2019,"1.6"
"BE33","gva_pch_pre",2020,"-2.2"
"BE33","gva_pch_pre",2021,"5.2"
"BE33","gva_pch_pre",2022,"3.1"
"BE33","gva_pch_pre",2023,"0.8"
"BE34","gva_pch_pre",2014,"0.6"
"BE34","gva_pch_pre",2015,"2.4"
"BE34","gva_pch_pre",2016,"0.3"
"BE34","gva_pch_pre",2017,"2.0"
"BE34","gva_pch_pre",2018,"1.3"
"BE34","gva_pch_pre",2019,"1.9"
"BE34","gva_pch_pre",2020,"-2.3"
"BE34","gva_pch_pre",2021,"6.8"
"BE34","gva_pch_pre",2022,"3.7"
"BE34","gva_pch_pre",2023,"-0.1"
"BE35","gva_pch_pre",2014,"1.5"
"BE35","gva_pch_pre",2015,"1.2"
"BE35","gva_pch_pre",2016,"1.4"
"BE35","gva_pch_pre",2017,"1.2"
"BE35","gva_pch_pre",2018,"1.5"
"BE35","gva_pch_pre",2019,"1.3"
"BE35","gva_pch_pre",2020,"-3.3"
"BE35","gva_pch_pre",2021,"6.2"
"BE35","gva_pch_pre",2022,"4.3"
"BE35","gva_pch_pre",2023,"2.4"
"BEZZ","gva_pch_pre",2014,"1.3"
"BEZZ","gva_pch_pre",2015,"-2.9"
"BEZZ","gva_pch_pre",2016,"-31.0"
"BEZZ","gva_pch_pre",2017,"3.1"
"BEZZ","gva_pch_pre",2018,"29.6"
"BEZZ","gva_pch_pre",2019,"9.2"
"BEZZ","gva_pch_pre",2020,"-38.2"
"BEZZ","gva_pch_pre",2021,"1.4"
