"region_id","indicator","year","value"
"BE10","hr_st_te_pc",2020,"55.9"
"BE10","hr_st_te_pc",2021,"58.5"
"BE10","hr_st_te_pc",2022,"59.0"
"BE10","hr_st_te_pc",2023,"59.0"
"BE10","hr_st_te_pc",2024,"59.1"
"BE21","hr_st_te_pc",2020,"45.1"
"BE21","hr_st_te_pc",2021,"46.7"
"BE21","hr_st_te_pc",2022,"49.8"
"BE21","hr_st_te_pc",2023,"49.3"
"BE21","hr_st_te_pc",2024,"48.0"
"BE22","hr_st_te_pc",2020,"43.0"
"BE22","hr_st_te_pc",2021,"44.2"
"BE22","hr_st_te_pc",2022,"46.8"
"BE22","hr_st_te_pc",2023,"46.2"
"BE22","hr_st_te_pc",2024,"42.0"
"BE23","hr_st_te_pc",2020,"47.8"
"BE23","hr_st_te_pc",2021,"53.2"
"BE23","hr_st_te_pc",2022,"52.8"
"BE23","hr_st_te_pc",2023,"49.1"
"BE23","hr_st_te_pc",2024,"49.9"
"BE24","hr_st_te_pc",2020,"55.2"
"BE24","hr_st_te_pc",2021,"57.8"
"BE24","hr_st_te_pc",2022,"55.7"
"BE24","hr_st_te_pc",2023,"55.3"
"BE24","hr_st_te_pc",2024,"55.9"
"BE25","hr_st_te_pc",2020,"42.4"
"BE25","hr_st_te_pc",2021,"43.2"
"BE25","hr_st_te_pc",2022,"42.9"
"BE25","hr_st_te_pc",2023,"42.5"
"BE25","hr_st_te_pc",2024,"41.7"
"BE31","hr_st_te_pc",2020,"63.2"
"BE31","hr_st_te_pc",2021,"62.0"
"BE31","hr_st_te_pc",2022,"64.1"
"BE31","hr_st_te_pc",2023,"63.7"
"BE31","hr_st_te_pc",2024,"65.5"
"BE32","hr_st_te_pc",2020,"40.4"
"BE32","hr_st_te_pc",2021,"40.5"
"BE32","hr_st_te_pc",2022,"40.0"
"BE32","hr_st_te_pc",2023,"40.0"
"BE32","hr_st_te_pc",2024,"39.6"
"BE33","hr_st_te_pc",2020,"45.3"
"BE33","hr_st_te_pc",2021,"48.7"
"BE33","hr_st_te_pc",2022,"48.0"
"BE33","hr_st_te_pc",2023,"44.8"
"BE33","hr_st_te_pc",2024,"47.4"
"BE34","hr_st_te_pc",2020,"45.8"
"BE34","hr_st_te_pc",2021,"47.8"
"BE34","hr_st_te_pc",2022,"44.5"
"BE34","hr_st_te_pc",2023,"42.5"
"BE34","hr_st_te_pc",2024,"43.5"
"BE35","hr_st_te_pc",2020,"46.3"
"BE35","hr_st_te_pc",2021,"49.2"
"BE35","hr_st_te_pc",2022,"49.6"
"BE35","hr_st_te_pc",2023,"49.9"
"BE35","hr_st_te_pc",2024,"47.3"
