"region_id","indicator","year","value"
"BE10","pop_prv_hos_ed_te_total_20_64_y",2015,"298.7"
"BE10","pop_prv_hos_ed_te_total_20_64_y",2016,"303.0"
"BE10","pop_prv_hos_ed_te_total_20_64_y",2017,"322.4"
"BE10","pop_prv_hos_ed_te_total_20_64_y",2018,"333.7"
"BE10","pop_prv_hos_ed_te_total_20_64_y",2019,"330.5"
"BE10","pop_prv_hos_ed_te_total_20_64_y",2020,"352.4"
"BE10","pop_prv_hos_ed_te_total_20_64_y",2021,"373.4"
"BE10","pop_prv_hos_ed_te_total_20_64_y",2022,"384.0"
"BE10","pop_prv_hos_ed_te_total_20_64_y",2023,"391.5"
"BE10","pop_prv_hos_ed_te_total_20_64_y",2024,"392.5"
"BE21","pop_prv_hos_ed_te_total_20_64_y",2015,"393.8"
"BE21","pop_prv_hos_ed_te_total_20_64_y",2016,"365.3"
"BE21","pop_prv_hos_ed_te_total_20_64_y",2017,"400.4"
"BE21","pop_prv_hos_ed_te_total_20_64_y",2018,"418.0"
"BE21","pop_prv_hos_ed_te_total_20_64_y",2019,"420.5"
"BE21","pop_prv_hos_ed_te_total_20_64_y",2020,"433.3"
"BE21","pop_prv_hos_ed_te_total_20_64_y",2021,"457.4"
"BE21","pop_prv_hos_ed_te_total_20_64_y",2022,"500.5"
"BE21","pop_prv_hos_ed_te_total_20_64_y",2023,"489.4"
"BE21","pop_prv_hos_ed_te_total_20_64_y",2024,"484.5"
"BE22","pop_prv_hos_ed_te_total_20_64_y",2015,"164.6"
"BE22","pop_prv_hos_ed_te_total_20_64_y",2016,"168.5"
"BE22","pop_prv_hos_ed_te_total_20_64_y",2017,"178.2"
"BE22","pop_prv_hos_ed_te_total_20_64_y",2018,"179.4"
"BE22","pop_prv_hos_ed_te_total_20_64_y",2019,"187.5"
"BE22","pop_prv_hos_ed_te_total_20_64_y",2020,"191.8"
"BE22","pop_prv_hos_ed_te_total_20_64_y",2021,"200.1"
"BE22","pop_prv_hos_ed_te_total_20_64_y",2022,"218.8"
"BE22","pop_prv_hos_ed_te_total_20_64_y",2023,"212.0"
"BE22","pop_prv_hos_ed_te_total_20_64_y",2024,"192.1"
"BE23","pop_prv_hos_ed_te_total_20_64_y",2015,"324.4"
"BE23","pop_prv_hos_ed_te_total_20_64_y",2016,"340.2"
"BE23","pop_prv_hos_ed_te_total_20_64_y",2017,"363.6"
"BE23","pop_prv_hos_ed_te_total_20_64_y",2018,"367.9"
"BE23","pop_prv_hos_ed_te_total_20_64_y",2019,"358.0"
"BE23","pop_prv_hos_ed_te_total_20_64_y",2020,"382.9"
"BE23","pop_prv_hos_ed_te_total_20_64_y",2021,"437.2"
"BE23","pop_prv_hos_ed_te_total_20_64_y",2022,"434.7"
"BE23","pop_prv_hos_ed_te_total_20_64_y",2023,"405.1"
"BE23","pop_prv_hos_ed_te_total_20_64_y",2024,"418.3"
"BE24","pop_prv_hos_ed_te_total_20_64_y",2015,"283.9"
"BE24","pop_prv_hos_ed_te_total_20_64_y",2016,"299.9"
"BE24","pop_prv_hos_ed_te_total_20_64_y",2017,"322.8"
"BE24","pop_prv_hos_ed_te_total_20_64_y",2018,"311.2"
"BE24","pop_prv_hos_ed_te_total_20_64_y",2019,"317.6"
"BE24","pop_prv_hos_ed_te_total_20_64_y",2020,"328.2"
"BE24","pop_prv_hos_ed_te_total_20_64_y",2021,"341.1"
"BE24","pop_prv_hos_ed_te_total_20_64_y",2022,"334.1"
"BE24","pop_prv_hos_ed_te_total_20_64_y",2023,"327.1"
"BE24","pop_prv_hos_ed_te_total_20_64_y",2024,"330.8"
"BE25","pop_prv_hos_ed_te_total_20_64_y",2015,"222.5"
"BE25","pop_prv_hos_ed_te_total_20_64_y",2016,"240.1"
"BE25","pop_prv_hos_ed_te_total_20_64_y",2017,"253.3"
"BE25","pop_prv_hos_ed_te_total_20_64_y",2018,"251.2"
"BE25","pop_prv_hos_ed_te_total_20_64_y",2019,"252.4"
"BE25","pop_prv_hos_ed_te_total_20_64_y",2020,"262.5"
"BE25","pop_prv_hos_ed_te_total_20_64_y",2021,"266.1"
"BE25","pop_prv_hos_ed_te_total_20_64_y",2022,"266.3"
"BE25","pop_prv_hos_ed_te_total_20_64_y",2023,"263.8"
"BE25","pop_prv_hos_ed_te_total_20_64_y",2024,"255.2"
"BE31","pop_prv_hos_ed_te_total_20_64_y",2015,"118.2"
"BE31","pop_prv_hos_ed_te_total_20_64_y",2016,"114.5"
"BE31","pop_prv_hos_ed_te_total_20_64_y",2017,"125.1"
"BE31","pop_prv_hos_ed_te_total_20_64_y",2018,"127.1"
"BE31","pop_prv_hos_ed_te_total_20_64_y",2019,"123.4"
"BE31","pop_prv_hos_ed_te_total_20_64_y",2020,"131.3"
"BE31","pop_prv_hos_ed_te_total_20_64_y",2021,"132.7"
"BE31","pop_prv_hos_ed_te_total_20_64_y",2022,"136.1"
"BE31","pop_prv_hos_ed_te_total_20_64_y",2023,"140.2"
"BE31","pop_prv_hos_ed_te_total_20_64_y",2024,"141.8"
"BE32","pop_prv_hos_ed_te_total_20_64_y",2015,"204.5"
"BE32","pop_prv_hos_ed_te_total_20_64_y",2016,"227.8"
"BE32","pop_prv_hos_ed_te_total_20_64_y",2017,"234.3"
"BE32","pop_prv_hos_ed_te_total_20_64_y",2018,"239.0"
"BE32","pop_prv_hos_ed_te_total_20_64_y",2019,"240.7"
"BE32","pop_prv_hos_ed_te_total_20_64_y",2020,"244.3"
"BE32","pop_prv_hos_ed_te_total_20_64_y",2021,"251.7"
"BE32","pop_prv_hos_ed_te_total_20_64_y",2022,"256.3"
"BE32","pop_prv_hos_ed_te_total_20_64_y",2023,"253.6"
"BE32","pop_prv_hos_ed_te_total_20_64_y",2024,"252.0"
"BE33","pop_prv_hos_ed_te_total_20_64_y",2015,"211.1"
"BE33","pop_prv_hos_ed_te_total_20_64_y",2016,"208.2"
"BE33","pop_prv_hos_ed_te_total_20_64_y",2017,"218.2"
"BE33","pop_prv_hos_ed_te_total_20_64_y",2018,"221.3"
"BE33","pop_prv_hos_ed_te_total_20_64_y",2019,"229.9"
"BE33","pop_prv_hos_ed_te_total_20_64_y",2020,"243.7"
"BE33","pop_prv_hos_ed_te_total_20_64_y",2021,"260.8"
"BE33","pop_prv_hos_ed_te_total_20_64_y",2022,"251.4"
"BE33","pop_prv_hos_ed_te_total_20_64_y",2023,"236.3"
"BE33","pop_prv_hos_ed_te_total_20_64_y",2024,"246.2"
"BE34","pop_prv_hos_ed_te_total_20_64_y",2015,"58.4"
"BE34","pop_prv_hos_ed_te_total_20_64_y",2016,"56.3"
"BE34","pop_prv_hos_ed_te_total_20_64_y",2017,"60.1"
"BE34","pop_prv_hos_ed_te_total_20_64_y",2018,"62.5"
"BE34","pop_prv_hos_ed_te_total_20_64_y",2019,"64.6"
"BE34","pop_prv_hos_ed_te_total_20_64_y",2020,"67.7"
"BE34","pop_prv_hos_ed_te_total_20_64_y",2021,"73.0"
"BE34","pop_prv_hos_ed_te_total_20_64_y",2022,"69.0"
"BE34","pop_prv_hos_ed_te_total_20_64_y",2023,"65.8"
"BE34","pop_prv_hos_ed_te_total_20_64_y",2024,"67.5"
"BE35","pop_prv_hos_ed_te_total_20_64_y",2015,"96.6"
"BE35","pop_prv_hos_ed_te_total_20_64_y",2016,"96.2"
"BE35","pop_prv_hos_ed_te_total_20_64_y",2017,"109.7"
"BE35","pop_prv_hos_ed_te_total_20_64_y",2018,"108.3"
"BE35","pop_prv_hos_ed_te_total_20_64_y",2019,"105.7"
"BE35","pop_prv_hos_ed_te_total_20_64_y",2020,"112.9"
"BE35","pop_prv_hos_ed_te_total_20_64_y",2021,"119.0"
"BE35","pop_prv_hos_ed_te_total_20_64_y",2022,"121.1"
"BE35","pop_prv_hos_ed_te_total_20_64_y",2023,"121.1"
"BE35","pop_prv_hos_ed_te_total_20_64_y",2024,"116.4"
"BG31","pop_prv_hos_ed_te_total_20_64_y",2015,"92.8"
"BG31","pop_prv_hos_ed_te_total_20_64_y",2016,"83.1"
"BG31","pop_prv_hos_ed_te_total_20_64_y",2017,"80.7"
"BG31","pop_prv_hos_ed_te_total_20_64_y",2018,"81.7"
"BG31","pop_prv_hos_ed_te_total_20_64_y",2019,"72.6"
"BG31","pop_prv_hos_ed_te_total_20_64_y",2020,"76.8"
"BG31","pop_prv_hos_ed_te_total_20_64_y",2021,"71.6"
"BG31","pop_prv_hos_ed_te_total_20_64_y",2022,"66.6"
"BG31","pop_prv_hos_ed_te_total_20_64_y",2023,"71.8"
"BG31","pop_prv_hos_ed_te_total_20_64_y",2024,"87.7"
"BG32","pop_prv_hos_ed_te_total_20_64_y",2015,"109.0"
"BG32","pop_prv_hos_ed_te_total_20_64_y",2016,"112.2"
"BG32","pop_prv_hos_ed_te_total_20_64_y",2017,"106.6"
"BG32","pop_prv_hos_ed_te_total_20_64_y",2018,"113.8"
"BG32","pop_prv_hos_ed_te_total_20_64_y",2019,"107.3"
"BG32","pop_prv_hos_ed_te_total_20_64_y",2020,"101.9"
"BG32","pop_prv_hos_ed_te_total_20_64_y",2021,"100.4"
"BG32","pop_prv_hos_ed_te_total_20_64_y",2022,"96.7"
"BG32","pop_prv_hos_ed_te_total_20_64_y",2023,"96.7"
"BG32","pop_prv_hos_ed_te_total_20_64_y",2024,"108.4"
"BG33","pop_prv_hos_ed_te_total_20_64_y",2015,"142.3"
"BG33","pop_prv_hos_ed_te_total_20_64_y",2016,"142.4"
"BG33","pop_prv_hos_ed_te_total_20_64_y",2017,"145.9"
"BG33","pop_prv_hos_ed_te_total_20_64_y",2018,"135.1"
"BG33","pop_prv_hos_ed_te_total_20_64_y",2019,"109.1"
"BG33","pop_prv_hos_ed_te_total_20_64_y",2020,"107.8"
"BG33","pop_prv_hos_ed_te_total_20_64_y",2021,"119.4"
"BG33","pop_prv_hos_ed_te_total_20_64_y",2022,"130.2"
"BG33","pop_prv_hos_ed_te_total_20_64_y",2023,"135.7"
"BG33","pop_prv_hos_ed_te_total_20_64_y",2024,"163.3"
"BG34","pop_prv_hos_ed_te_total_20_64_y",2015,"131.3"
"BG34","pop_prv_hos_ed_te_total_20_64_y",2016,"129.9"
"BG34","pop_prv_hos_ed_te_total_20_64_y",2017,"128.1"
"BG34","pop_prv_hos_ed_te_total_20_64_y",2018,"124.4"
"BG34","pop_prv_hos_ed_te_total_20_64_y",2019,"114.3"
"BG34","pop_prv_hos_ed_te_total_20_64_y",2020,"119.6"
"BG34","pop_prv_hos_ed_te_total_20_64_y",2021,"117.9"
"BG34","pop_prv_hos_ed_te_total_20_64_y",2022,"111.0"
"BG34","pop_prv_hos_ed_te_total_20_64_y",2023,"114.1"
"BG34","pop_prv_hos_ed_te_total_20_64_y",2024,"141.4"
"BG41","pop_prv_hos_ed_te_total_20_64_y",2015,"484.9"
"BG41","pop_prv_hos_ed_te_total_20_64_y",2016,"491.7"
"BG41","pop_prv_hos_ed_te_total_20_64_y",2017,"483.7"
