Cod_Regiune,act_wee_wo_ho,emp_pers,emp_tech_agriculture,emp_tech_education,emp_tech_electricity_and_gas,emp_tech_finance_and_insurance,emp_tech_high_tech_knowhow_intensive,emp_tech_high_tech_sectors,emp_tech_human_health_and_social_work,emp_tech_info_and_communcation,emp_tech_manufacturing,emp_tech_public_administration,emp_tech_services,emp_tech_transport,emp_tech_wholesale_and_retail_trade,gdp,gva,hr_st,inab_finan_expen,labour_force,labour_mk_slack,pop_prv_host_ed,pop_tot_20_64,y_nw_ned_nt
BE21,34.6,832.3,9.5,91.3,66.2,24.1,36.2,52.5,135.3,36.6,106.5,48.1,681.1,53.7,133.9,114382.42,0.8,49.3,18.5,861.5,68.6,489.4,1103860,9.8
BE22,33.2,393.7,3.4,39.4,34.6,8.5,13.2,16.9,67.3,13.4,58.5,25.9,311.9,20.1,70.1,36725.81,0.7,46.2,9.7,404.5,27.1,212,519897,7
BE23,35.3,713.7,10.9,64.3,56.9,20.4,33.2,43.3,108,29.8,110.8,59.5,560,28.8,124.7,74451.62,0.3,49.1,11.8,731.8,42.1,405.1,907992,7.6
BE25,35.4,536.2,8.9,41.5,47,11.8,11.7,15.8,88.3,12.5,92.5,37.5,408.1,23.8,109.6,60930.99,1.9,42.5,9.8,550,28.5,263.8,681524,7.1
BE32,34.4,487.4,8.9,55.7,40.7,12.7,15.8,22.1,72.2,15.2,46.8,63.7,398.3,28.7,75,42079.15,0,40,41.2,536.4,77.7,253.6,786461,18.1
BE33,35,403.4,3.6,43.5,40,8.3,13.8,17.5,61,13.8,57.5,51.2,313.4,16.5,62.5,41195.63,0.8,44.8,28,441.9,69.5,236.3,649718,18.9
BE34,35.6,121,4.1,10,10.7,7.2,4.1,4.8,18.5,3.9,14,13.3,96.4,3.5,21.7,9424.04,-0.1,42.5,28.2,128.9,15.2,65.8,174738,11
BE35,35.4,197.6,4.1,24.2,13.2,6.2,9.8,13.5,30.4,7.9,13.4,30.7,171.3,8.1,28.7,17622.97,2.4,49.9,28,211,26.9,121.1,294659,12.4
BG32,38.6,282.1,23.9,14.9,25.5,4.9,5.6,9,15.5,5.8,86,17.7,156.7,15.4,57.7,6893.14,5.1,28.5,53.2,299.7,27.5,96.7,384216,22.2
BG33,39.2,367.9,29.3,20.3,52.6,7.4,7.8,7.9,24.1,7.4,44,23.4,256.3,34.1,93.6,9474.43,3.2,32.1,55.6,384.7,26.2,135.7,476134,17.6
